dest_group,dest_group_sid,metadata_comment
ESX Admins,,members are granted full administrative access to the ESXi hypervisor - exploited in the wild by ransowmare groups https://www.microsoft.com/en-us/security/blog/2024/07/29/ransomware-operators-exploit-esxi-hypervisor-vulnerability-for-mass-encryption/
ESXi Admins,,members are granted full administrative access to the ESXi hypervisor - exploited in the wild by ransowmare groups https://www.microsoft.com/en-us/security/blog/2024/07/29/ransomware-operators-exploit-esxi-hypervisor-vulnerability-for-mass-encryption/
"Account Operators","S-1-5-32-548","Can create and manage non-administrator accounts and groups on the domain; could be exploited for lateral movement and privilege escalation"
"Opérateurs de compte","S-1-5-32-548","Peuvent créer et gérer des comptes et des groupes non-administrateurs sur le domaine; pourrait être exploité pour des mouvements latéraux et une escalade de privilèges"
"Operadores de cuenta","S-1-5-32-548","Pueden crear y gestionar cuentas y grupos no administradores en el dominio; podría ser explotado para movimiento lateral y escalada de privilegios"
"Administrators","S-1-5-32-544","Full administrative control over the domain; compromise could lead to total domain takeover"
"Administrateurs","S-1-5-32-544","Contrôle administratif total sur le domaine; une compromission pourrait conduire à une prise de contrôle totale du domaine"
"Administradores","S-1-5-32-544","Control administrativo total sobre el dominio; una brecha podría llevar a la toma de control total del dominio"
"Backup Operators","S-1-5-32-551","Access to back up and restore files on DC; could be used to exfiltrate sensitive data or tamper with backups"
"Opérateurs de sauvegarde","S-1-5-32-551","Accès pour sauvegarder et restaurer des fichiers sur le DC; pourrait être utilisé pour exfiltrer des données sensibles ou altérer les sauvegardes"
"Operadores de copia de seguridad","S-1-5-32-551","Acceso para respaldar y restaurar archivos en el DC; podría ser utilizado para exfiltrar datos sensibles o manipular respaldos"
"DnsAdmins","S-1-5-21-*-1102","Manages DNS servers; allows loading arbitrary DLLs, remote code execution, and creating malicious DNS records (WPAD) for MitM attacks"
"Admins DNS","S-1-5-21-*-1102","Gère les serveurs DNS; permet de charger des DLL arbitraires, d'exécuter du code à distance et de créer des enregistrements DNS malveillants (WPAD) pour des attaques MitM"
"Admins DNS","S-1-5-21-*-1102","Gestiona los servidores DNS; permite cargar DLL arbitrarias, ejecutar código remoto y crear registros DNS maliciosos (WPAD) para ataques MitM"
"Domain Admins","S-1-5-21-*-512","Full administrative control over all domain computers, including DC; compromise leads to complete domain control"
"Administrateurs du domaine","S-1-5-21-*-512","Contrôle administratif total sur tous les ordinateurs du domaine, y compris le DC; une compromission conduit à un contrôle total du domaine"
"Admins del dominio","S-1-5-21-*-512","Control administrativo total sobre todas las computadoras del dominio, incluido el DC; una brecha conduce a un control total del dominio"
"Enterprise Admins","S-1-5-21-*-519","Administrative privileges across all domains in the forest; compromise affects entire forest and can propagate through all domains"
"Administrateurs de l'entreprise","S-1-5-21-*-519","Privilèges administratifs sur tous les domaines de la forêt; une compromission affecte toute la forêt et peut se propager à travers tous les domaines"
"Admins de la empresa","S-1-5-21-*-519","Privilegios administrativos en todos los dominios del bosque; una brecha afecta a todo el bosque y puede propagarse a través de todos los dominios"
"Enterprise Key Admins","S-1-5-21-*-526","Manages msds-KeyCredentialLink property; can create Shadow Credentials for persistent access and stealthy attacks"
"Administrateurs de clés de l'entreprise","S-1-5-21-*-526","Gère la propriété msds-KeyCredentialLink; peut créer des Shadow Credentials pour un accès persistant et des attaques furtives"
"Admins de claves de la empresa","S-1-5-21-*-526","Gestiona la propiedad msds-KeyCredentialLink; puede crear Shadow Credentials para acceso persistente y ataques sigilosos"
"Group Policy Creator Owners","S-1-5-21-*-520","Creates and manages GPOs; can attach malicious policies to privileged objects for lateral movement and privilege escalation"
"Propriétaires créateurs de stratégie de groupe","S-1-5-21-*-520","Crée et gère les GPOs; peut attacher des politiques malveillantes à des objets privilégiés pour des mouvements latéraux et une escalade de privilèges"
"Propietarios creadores de directivas de grupo","S-1-5-21-*-520","Crea y gestiona GPOs; puede adjuntar políticas maliciosas a objetos privilegiados para movimiento lateral y escalada de privilegios"
"Hyper-V Administrators","S-1-5-32-578","Manages Hyper-V virtual machines; can clone virtual DCs and recover NTDS.dit, potentially exfiltrating sensitive data"
"Administrateurs Hyper-V","S-1-5-32-578","Gère les machines virtuelles Hyper-V; peut cloner des DC virtuels et récupérer NTDS.dit, potentiellement exfiltrer des données sensibles"
"Administradores de Hyper-V","S-1-5-32-578","Gestiona máquinas virtuales Hyper-V; puede clonar DC virtuales y recuperar NTDS.dit, potencialmente exfiltrar datos sensibles"
"Print Operators","S-1-5-32-550","Manages printers and drivers on the DC; could load arbitrary signed drivers, leading to potential code execution"
"Opérateurs d'impression","S-1-5-32-550","Gère les imprimantes et les pilotes sur le DC; pourrait charger des pilotes signés arbitraires, conduisant à une exécution de code potentielle"
"Operadores de impresión","S-1-5-32-550","Gestiona impresoras y controladores en el DC; podría cargar controladores firmados arbitrarios, llevando a una potencial ejecución de código"
"Remote Management Users","S-1-5-32-580","Remote management of DC using PowerShell Remoting; could be exploited for remote command execution and management"
"Utilisateurs de gestion à distance","S-1-5-32-580","Gestion à distance du DC utilisant PowerShell Remoting; pourrait être exploité pour l'exécution et la gestion de commandes à distance"
"Usuarios de administración remota","S-1-5-32-580","Administración remota del DC usando PowerShell Remoting; podría ser explotado para la ejecución y administración de comandos remotos"
"Replicators","S-1-5-32-552","Privilege escalation through drive access; no user should be added to this group to avoid security risks"
"Duplicateurs","S-1-5-32-552","Escalade de privilèges via l'accès aux lecteurs; aucun utilisateur ne doit être ajouté à ce groupe pour éviter les risques de sécurité"
"Duplicadores","S-1-5-32-552","Escalada de privilegios a través del acceso a discos; ningún usuario debe ser añadido a este grupo para evitar riesgos de seguridad"
"Schema Admins","S-1-5-21-*-518","Modifies the AD schema structure; could backdoor schema changes to create persistent and hard-to-detect malicious entries"
"Administrateurs du schéma","S-1-5-21-*-518","Modifie la structure du schéma AD; pourrait ajouter des portes dérobées dans les modifications de schéma pour créer des entrées malveillantes persistantes et difficiles à détecter"
"Admins del esquema","S-1-5-21-*-518","Modifica la estructura del esquema AD; podría agregar puertas traseras en los cambios de esquema para crear entradas maliciosas persistentes y difíciles de detectar"
"Server Operators","S-1-5-32-549","Local logon and server management on DC; could be used to gain physical access and control over DC settings"
"Opérateurs de serveur","S-1-5-32-549","Connexion locale et gestion des serveurs sur le DC; pourrait être utilisé pour accéder physiquement et contrôler les paramètres du DC"
"Operadores de servidor","S-1-5-32-549","Inicio de sesión local y gestión de servidores en el DC; podría ser utilizado para obtener acceso físico y control sobre la configuración del DC"
"Key Admins","S-1-5-21-*-529","Manages cryptographic keys across the domain; compromise could lead to unauthorized decryption and data access"
"Administrateurs de clés","S-1-5-21-*-529","Gère les clés cryptographiques du domaine; une compromission pourrait entraîner un déchiffrement non autorisé et un accès aux données"
"Admins de claves","S-1-5-21-*-529","Gestiona las claves criptográficas del dominio; una brecha podría llevar a un descifrado no autorizado y acceso a datos"
"Remote Desktop Users","S-1-5-32-555","Allows members to log on to the domain remotely; could be used for unauthorized remote access"
"Utilisateurs du Bureau à distance","S-1-5-32-555","Permet aux membres de se connecter à distance au domaine; pourrait être utilisé pour un accès distant non autorisé"
