geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
11797,ru,AS,Азия,IR,Иран,02,Мазендеран,,,,,Asia/Tehran,0
18918,ru,EU,Европа,CY,Кипр,04,Фамагуста,,,Протарас,,Asia/Famagusta,1
49518,ru,AF,Африка,RW,Руанда,,,,,,,Africa/Kigali,0
51537,ru,AF,Африка,SO,Сомали,,,,,,,Africa/Mogadishu,0
53654,ru,AF,Африка,SO,Сомали,BN,,,,Могадишо,,Africa/Mogadishu,0
54225,ru,AF,Африка,SO,Сомали,SH,,,,Марка,,Africa/Mogadishu,0
57289,ru,AF,Африка,SO,Сомали,WO,,,,Харгейсе,,Africa/Mogadishu,0
58933,ru,AF,Африка,SO,Сомали,NU,,,,Гароуэ,,Africa/Mogadishu,0
62691,ru,AF,Африка,SO,Сомали,SA,,,,Серигабо,,Africa/Mogadishu,0
63795,ru,AF,Африка,SO,Сомали,TO,,,,Бурао,,Africa/Mogadishu,0
64013,ru,AF,Африка,SO,Сомали,BR,,,,Босасо,,Africa/Mogadishu,0
64460,ru,AF,Африка,SO,Сомали,HI,,,,Беледуэйне,,Africa/Mogadishu,0
64536,ru,AF,Африка,SO,Сомали,BY,,,,Байдоа,,Africa/Mogadishu,0
69543,ru,AS,Азия,YE,Йемен,,,,,,,Asia/Aden,0
70222,ru,AS,Азия,YE,Йемен,TA,Таиз,,,,,Asia/Aden,0
70223,ru,AS,Азия,YE,Йемен,DH,Дамар,,,,,Asia/Aden,0
70225,ru,AS,Азия,YE,Йемен,TA,Таиз,,,Таиз,,Asia/Aden,0
71135,ru,AS,Азия,YE,Йемен,HD,Хадрамаут,,,,,Asia/Aden,0
71137,ru,AS,Азия,YE,Йемен,SA,,,,Сана,,Asia/Aden,0
71490,ru,AS,Азия,YE,Йемен,BA,Эль-Бейда,,,,,Asia/Aden,0
75427,ru,AS,Азия,YE,Йемен,SU,,,,Хадибо,,Asia/Aden,0
76184,ru,AS,Азия,YE,Йемен,DH,Дамар,,,Дамар,,Asia/Aden,0
77843,ru,AS,Азия,YE,Йемен,HU,Ходейда,,,,,Asia/Aden,0
78428,ru,AS,Азия,YE,Йемен,AM,Амран,,,Амран,,Asia/Aden,0
79415,ru,AS,Азия,YE,Йемен,HU,Ходейда,,,Эль-Худайда,,Asia/Aden,0
79836,ru,AS,Азия,YE,Йемен,BA,Эль-Бейда,,,Эль-Байда,,Asia/Aden,0
80425,ru,AS,Азия,YE,Йемен,AB,Абьян,,,,,Asia/Aden,0
81302,ru,AF,Африка,LY,Ливия,BU,,,,Тобрук,,Africa/Tripoli,0
85026,ru,AF,Африка,LY,Ливия,JA,,,,,,Africa/Tripoli,0
87205,ru,AF,Африка,LY,Ливия,DR,,,,Дарна,,Africa/Tripoli,0
88319,ru,AF,Африка,LY,Ливия,BA,,,,Бенгази,,Africa/Tripoli,0
88903,ru,AF,Африка,LY,Ливия,MJ,,,,Аль-Мардж,,Africa/Tripoli,0
88962,ru,AF,Африка,LY,Ливия,KF,Эль-Куфра,,,Эль-Джауф,,Africa/Tripoli,0
89055,ru,AF,Африка,LY,Ливия,JA,,,,Эль-Байда,,Africa/Tripoli,0
89113,ru,AF,Африка,LY,Ливия,WA,,,,Адждабия,,Africa/Tripoli,0
89341,ru,AS,Азия,IQ,Ирак,BA,Басра,,,,,Asia/Baghdad,0
89570,ru,AS,Азия,IQ,Ирак,DA,Дахук,,,Заху,,Asia/Baghdad,0
89693,ru,AS,Азия,IQ,Ирак,WA,Васит,,,,,Asia/Baghdad,0
90150,ru,AS,Азия,IQ,Ирак,SD,Салах-эд-Дин,,,Тикрит,,Asia/Baghdad,0
90831,ru,AS,Азия,IQ,Ирак,KA,Кербела,,,,,Asia/Baghdad,0
91419,ru,AS,Азия,IQ,Ирак,BA,Басра,,,,,Asia/Baghdad,0
91597,ru,AS,Азия,IQ,Ирак,SD,Салах-эд-Дин,,,,,Asia/Baghdad,0
91695,ru,AS,Азия,IQ,Ирак,SD,Салах-эд-Дин,,,,,Asia/Baghdad,0
92052,ru,AS,Азия,IQ,Ирак,SU,Сулеймания,,,,,Asia/Baghdad,0
93540,ru,AS,Азия,IQ,Ирак,MA,Майсан,,,,,Asia/Baghdad,0
94787,ru,AS,Азия,IQ,Ирак,KI,Киркук,,,Киркук,,Asia/Baghdad,0
94823,ru,AS,Азия,IQ,Ирак,KA,Кербела,,,,,Asia/Baghdad,0
94824,ru,AS,Азия,IQ,Ирак,KA,Кербела,,,Кербела,,Asia/Baghdad,0
95445,ru,AS,Азия,IQ,Ирак,AR,Эрбиль,,,,,Asia/Baghdad,0
95446,ru,AS,Азия,IQ,Ирак,AR,Эрбиль,,,Эрбиль,,Asia/Baghdad,0
96965,ru,AS,Азия,IQ,Ирак,DI,Дияла,,,,,Asia/Baghdad,0
96994,ru,AS,Азия,IQ,Ирак,DA,Дахук,,,Дахук,,Asia/Baghdad,0
97990,ru,AS,Азия,IQ,Ирак,DI,Дияла,,,Баакуба,,Asia/Baghdad,0
98180,ru,AS,Азия,IQ,Ирак,BG,Багдад,,,,,Asia/Baghdad,0
