file_name,expected_file_path,vulnerable_file_name,file_type,file_hash,link,hijacklib_link
acrodistdll.dll,C:\Program Files\Adobe\Acrobat *\Acrobat*,C:\Program Files\Adobe\Acrobat *\Acrobat\AcroDist.exe,Sideloading,01b68a0c13032bb59f262ed94d2daf85e50fad7a1502a3097029b66b7eb4f903,https://go.recordedfuture.com/hubfs/reports/cta-2022-1223.pdf,HijackLibs/yml/3rd_party/adobe/acrodistdll.yml
vender.dll,C:\Program Files\ASUS\GPU TweakII*;C:\Program Files\ASUS\VGA COM\*,C:\Program Files\ASUS\GPU TweakII\ASUSGPUFanService.exe,Sideloading,00bfbbe6e9d0c54312de906be79cc1e9f18b2957856a1215eaff1ac7bb20e66f,https://decoded.avast.io/threatintel/apt-treasure-trove-avast-suspects-chinese-apt-group-mustang-panda-is-collecting-data-from-burmese-government-agencies-and-opposition-groups/,HijackLibs/yml/3rd_party/asus/vender.yml
wsc.dll,C:\Program Files\AVAST Software\Avast*,wsc_proxy.exe,Search Order,85ca20eeec3400c68a62639a01928a5dab824d2eadf589e5cbfe5a2bc41d9654,https://github.com/netero1010/Vulnerability-Disclosure/tree/main/CVE-2022-AVAST2;https://securelist.com/cycldek-bridging-the-air-gap/97157/,HijackLibs/yml/3rd_party/avast/wsc.yml
basicnetutils.dll,C:\Users\*\AppData\Local\Temp\*\Application2*;C:\Program Files\BAIDU\BAIDUPINYIN\*,C:\Users\*\AppData\Local\Temp\*\Application2\XLGameUpdate.exe,Sideloading,769d59d03036af86c7a9950f03ebc7b693a94d3e2f8ecd1d74cf5600ab948105,https://news.sophos.com/en-us/2023/05/03/doubled-dll-sideloading-dragon-breath/;https://www.welivesecurity.com/2023/03/16/not-so-private-messaging-trojanized-whatsapp-telegram-cryptocurrency-wallets/,HijackLibs/yml/3rd_party/baidu/basicnetutils.yml
log.dll,C:\Program Files\Bitdefender Antivirus Free*,C:\Program Files\Bitdefender Antivirus Free\BDReinit.exe,Sideloading,386EB7AA33C76CE671D6685F79512597F1FAB28EA46C8EC7D89E58340081E2BD,https://www.secureworks.com/research/shadowpad-malware-analysis;https://www.hexacorn.com/blog/2023/02/25/beyond-good-ol-run-key-part-141/,HijackLibs/yml/3rd_party/bitdefender/log.yml
ciscosparklauncher.dll,C:\Users\*\AppData\Local\CiscoSparkLauncher*,CiscoCollabHost.exe,Sideloading,15bb2d1e81a75a92d0012dcbf47686fa2ab10f2174cda36d7c4b03bfb72313b7;7b301cea1feff0add8de512a93ed7bc1b8330caf0c3a6f1585f9887b88db8efb,https://news.sophos.com/en-us/2022/11/03/family-tree-dll-sideloading-cases-may-be-related/;https://www.joesandbox.com/analysis/279535/0/html,HijackLibs/yml/3rd_party/cisco/ciscosparklauncher.yml
classicexplorer32.dll,C:\Program Files\Classic Shell*;C:\Program Files\Open-Shell*,ClassicExplorerSettings.exe,Sideloading,b44cc792ae7f58e9a12a121c14a067ee1dd380df093339b4bf2b02df5937b2af,https://blogs.blackberry.com/en/2022/12/mustang-panda-uses-the-russian-ukrainian-war-to-attack-europe-and-asia-pacific-targets,HijackLibs/yml/3rd_party/classicshell/classicexplorer32.yml
vftrace.dll,C:\Program Files\CyberArk\Endpoint Privilege Manager\Agent\x32*;C:\Program Files\CyberArk\Endpoint Privilege Manager\Agent\x64*;C:\Program Files\CyberArk\Endpoint Privilege Manager\Agent*,vf_host.exe,Sideloading,df847abbfac55fb23715cde02ab52cbe59f14076f9e4bd15edbe28dcecb2a348,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/budworm-espionage-us-state?web_view=true;https://www.cisa.gov/uscert/ncas/analysis-reports/ar22-277b,HijackLibs/yml/3rd_party/cyberark/vftrace.yml
qrt.dll,C:\Program Files\F-Secure\Anti-Virus*,qrtfix.exe,Sideloading,,https://www.welivesecurity.com/2022/04/27/lookback-ta410-umbrella-cyberespionage-ttps-activity/,HijackLibs/yml/3rd_party/f-secure/qrt.yml
chrome_frame_helper.dll,C:\Users\*\AppData\Local\Google\Chrome\Application*;C:\Program Files\Google\Chrome\Application*,chrome_frame_helper.exe,Sideloading,f95d0ab23f95e169cd2c613a4b8dde731ca6031c5ae11ebf0bdc034db3cc30cd,https://www.hexacorn.com/blog/2016/03/10/beyond-good-ol-run-key-part-36/,HijackLibs/yml/3rd_party/google/chrome_frame_helper.yml
