file_name,expected_file_path,vulnerable_file_name,file_type,file_hash,link,hijacklib_link
qtcorevbox4.dll,C:\Program Files\Oracle\VirtualBox*,C:\Program Files\Oracle\VirtualBox\VBoxTestOGL.exe,Sideloading,e631bf67c349ce3afc7d5960b0247af9466292bc314ff393dee0716f3a50fd5f,https://asec.ahnlab.com/en/58319/;https://www.virustotal.com/gui/file/cf801023465679ec34084bdb1adb9f54b2fc3130925a4b8fdc10b11639b4a7cd;https://www.virustotal.com/gui/file/a6e6b1a47021fa1e4d36b047f5326eb04d5f545907fc6ac3730162a07cc792ff,HijackLibs/yml/3rd_party/oracle/qtcorevbox4.yml
launcher.dll,C:\Program Files\SQL Developer\ide\bin*,C:\Program Files\SQL Developer\sqldeveloper.exe,Search Order,8ceb437a7a38f035587d2e67a2e9d231552680ac34822f9d9e61b7b978160741,https://www.virustotal.com/gui/file/c3b48c62b34510e2328b790f9fabed994a91998f36c0c40bcf628b93f40d8ae5/relations,HijackLibs/yml/3rd_party/oracle/launcher.yml
vboxrt.dll,C:\Program Files\Oracle\VirtualBox*,C:\Program Files\Oracle\VirtualBox\VBoxSVC.exe,Sideloading,448402c129a721812fa1c5f279f5ca906b9c8bbca652a91655d144d20ce5e6b4,https://asec.ahnlab.com/en/58319/;https://www.virustotal.com/gui/file/cf801023465679ec34084bdb1adb9f54b2fc3130925a4b8fdc10b11639b4a7cd,HijackLibs/yml/3rd_party/oracle/vboxrt.yml
wcldll.dll,C:\Program Files\Cisco Systems\Cisco Jabber*;C:\Program Files\Webex\Applications*;C:\Program Files\Webex\Plugins*,C:\Program Files\Webex\Applications\ptInst.exe,Sideloading,bf1a0c67b433f52ebd304553f022baa34bfbca258c932d2b4b8b956b1467bfa5,https://www.virustotal.com/gui/file/26227914bdad9baf491a9b966e6301fc997cff35c677dcfd9628654f4f6bc9fc/relations;https://www.virustotal.com/gui/file/fa1443219f210bdcf3a25b311342851f61378536eb11810366468156fbd5c051,HijackLibs/yml/3rd_party/cisco/wcldll.yml
ciscosparklauncher.dll,C:\Users\*\AppData\Local\CiscoSparkLauncher*,CiscoCollabHost.exe,Sideloading,15bb2d1e81a75a92d0012dcbf47686fa2ab10f2174cda36d7c4b03bfb72313b7;7b301cea1feff0add8de512a93ed7bc1b8330caf0c3a6f1585f9887b88db8efb,https://news.sophos.com/en-us/2022/11/03/family-tree-dll-sideloading-cases-may-be-related/;https://www.joesandbox.com/analysis/279535/0/html,HijackLibs/yml/3rd_party/cisco/ciscosparklauncher.yml
sqlite.dll,C:\Program Files\NetWorx*,C:\Program Files\NetWorx\networx.exe,Sideloading,29345d9c6ff0106c9032b15e2c88f17bc8972ed843d1b5c044cf17d00f1d45c5,https://www.virustotal.com/gui/file/0271e401ca9e430868f45148a04680295929450aecc537285359a28605645daf;https://www.virustotal.com/gui/file/4489bffe08dcbd1e9741f9b66f8ba10b7526318a1dc8d190aef13bbc1599b0f7/details,HijackLibs/yml/3rd_party/softperfect/sqlite.yml
common.dll,C:\Program Files\iroot*,C:\Program Files\iroot\romasterconnection.exe,Sideloading,12cbaa57e3241d9f997c41a171ff40cf37ee8ab421fa1f35d2354891bf51815c,https://www.herdprotect.com/romasterconnection.exe-61602b5ec9ff4f651e87c9c4a15a7e4cc7c733aa.aspx;https://www.virustotal.com/gui/file/5aef5d7e917612b6390904f6468c3d0dbcf30345277b3ad0fe79e62fa8003c5b,HijackLibs/yml/3rd_party/iroot/common.yml
lmiguardiandll.dll,C:\Program Files\LogMeIn*;C:\Program Files\LogMeIn\x86*;C:\Program Files\LogMeIn\x64*,LMIGuardianSvc.exe,Sideloading,26C855264896DB95ED46E502F2D318E5F2AD25B59BDC47BD7FFE92646102AE0D,https://twitter.com/StopMalvertisin/status/1610961056163311619;https://blog.osarmor.com/311/lmiguardiansvc-exe-logmein-abused-to-sideload-malicious-dll/,HijackLibs/yml/3rd_party/logmein/lmiguardiandll.yml
winutils.dll,C:\Program Files\Palo Alto Networks\Traps*,C:\Program Files\Palo Alto Networks\Traps\cydump.exe,Sideloading,4874d336c5c7c2f558cfd5954655cacfc85bcfcb512a45fb0ff461ce9c38b86d,https://research.checkpoint.com/2023/rorschach-a-new-sophisticated-and-fast-ransomware/;https://security.paloaltonetworks.com/PAN-SA-2023-0002,HijackLibs/yml/3rd_party/paloalto/winutils.yml
libvlccore.dll,C:\Program Files\VideoLAN\VLC*,C:\Program Files\VideoLAN\VLC\vlc.exe,Sideloading,1fcd04fe1a3d519c7d585216b414cd947d16997d77d81a2892821f588c630937,https://asec.ahnlab.com/en/58319/;https://www.virustotal.com/gui/file/33c08eeaff6e9aa686a14144cb84d1895f260d28b767a0d2a10dbe427a65d7c0,HijackLibs/yml/3rd_party/vlc/libvlccore.yml
libvlc.dll,C:\Program Files\VideoLAN\VLC*,C:\Program Files\VideoLAN\VLC\vlc.exe,Sideloading,6f924de3f160984740fbac66cf9546125330fc00f4f5d2dbf05601d9d930b7d9,https://news.sophos.com/en-us/2022/11/03/family-tree-dll-sideloading-cases-may-be-related/;https://www.microsoft.com/en-us/security/blog/2018/11/08/attack-uses-malicious-inpage-document-and-outdated-vlc-media-player-to-give-attackers-backdoor-access-to-targets/,HijackLibs/yml/3rd_party/vlc/libvlc.yml
avupdate.dll,C:\Program Files\Confer\scanner\upd.exe*,C:\Program Files\Confer\scanner\upd.exe,Sideloading,3dfae7b23f6d1fe6e37a19de0e3b1f39249d146a1d21102dcc37861d337a0633,https://blackpointcyber.com/resources/blog/qilin-ransomware-and-the-hidden-dangers-of-byovd/,HijackLibs/yml/3rd_party/carbonblack/avupdate.yml
