role,id,metadata_is_privileged,metadata_description
Application Administrator,9b895d92-2cd3-44c7-9d02-a6ac2d5ea5c3,true,Can create and manage all aspects of app registrations and enterprise apps.
Application Developer,cf1c38e5-3621-4004-a7cb-879624dced7c,true,Can create application registrations independent of the 'Users can register applications' setting.
Authentication Administrator,c4e39bd9-1100-46d3-8c65-fb160da0071f,true,"Can access to view, set and reset authentication method information for any non-admin user."
B2C IEF Keyset Administrator,aaf43236-0c0d-4d5f-883a-6955382ac081,true,Can manage secrets for federation and encryption in the Identity Experience Framework (IEF).
Cloud Application Administrator,158c047a-c907-4556-b7ef-446551a6b5f7,true,Can create and manage all aspects of app registrations and enterprise apps except App Proxy.
Cloud Device Administrator,7698a772-787b-4ac8-901f-60d6b08affd2,true,Limited access to manage devices in Microsoft Entra ID.
Conditional Access Administrator,b1be1c3e-b65d-4f19-8427-f6fa0d97feb9,true,Can manage Conditional Access capabilities.
Directory Synchronization Accounts,d29b2b05-8046-44ba-8758-1e26182fcf32,true,Only used by Microsoft Entra Connect and Microsoft Entra Cloud Sync services.
Directory Writers,9360feb5-f418-4baa-8175-e2a00bac4301,true,"Can read and write basic directory information. For granting access to applications, not intended for users."
Domain Name Administrator,8329153b-31d0-4727-b945-745eb3bc5f31,true,Can manage domain names in cloud and on-premises.
External Identity Provider Administrator,be2f45a1-457d-42af-a067-6ec1fa63bc45,true,Can configure identity providers for use in direct federation.
Global Administrator,62e90394-69f5-4237-9190-012177145e10,true,Can manage all aspects of Microsoft Entra ID and Microsoft services that use Microsoft Entra identities.
Global Reader,f2ef992c-3afb-46b9-b7cf-a126ee74c451,true,"Can read everything that a Global Administrator can, but not update anything."
Helpdesk Administrator,729827e3-9c14-49f7-bb1b-9608f156bbb8,true,Can reset passwords for non-administrators and Helpdesk Administrators.
Hybrid Identity Administrator,8ac3fc64-6eca-42ea-9e69-59f4c7b60eb2,true,"Manage Active Directory to Microsoft Entra cloud provisioning, Microsoft Entra Connect, pass-through authentication (PTA), password hash synchronization (PHS), seamless single sign-on (seamless SSO), and federation settings. Does not have access to manage Microsoft Entra Connect Health."
Authentication Extensibility Administrator,25a516ed-2fa0-40ea-a2d0-12923a21473a,true,Customize sign in and sign up experiences for users by creating and managing custom authentication extensions.
Intune Administrator,3a2c62db-5318-420d-8d74-23affee5d9d5,true,Can manage all aspects of the Intune product.
Lifecycle Workflows Administrator,59d46f88-662b-457b-bceb-5c3809e5908f,true,Create and manage all aspects of workflows and tasks associated with Lifecycle Workflows in Microsoft Entra ID.
Partner Tier1 Support,4ba39ca4-527c-499a-b93d-d9b492c50246,true,Do not use - not intended for general use.
Partner Tier2 Support,e00e864a-17c5-4a4b-9c06-f5b95a8d5bd8,true,Do not use - not intended for general use.
Password Administrator,966707d0-3269-4727-9be2-8c3a10f19b9d,true,Can reset passwords for non-administrators and Password Administrators.
Privileged Authentication Administrator,7be44c8a-adaf-4e2a-84d6-ab2649e08a13,true,"Can access to view, set and reset authentication method information for any user (admin or non-admin)."
Privileged Role Administrator,e8611ab8-c189-46e8-94e1-60213ab1f814,true,"Can manage role assignments in Microsoft Entra ID, and all aspects of Privileged Identity Management."
Security Administrator,194ae4cb-b126-40b2-bd5b-6091b380977d,true,"Can read security information and reports, and manage configuration in Microsoft Entra ID and Office 365."
Security Operator,5f2222b1-57c3-48ba-8ad5-d4759f1fde6f,true,Creates and manages security events.
Security Reader,5d6b6bb7-de71-4623-b4af-96380a352509,true,Can read security information and reports in Microsoft Entra ID and Office 365.
User Administrator,fe930be7-5e62-47db-91af-98c3a49a38b1,true,"Can manage all aspects of users and groups, including resetting passwords for limited admins."
Attack Payload Author,9c6df0f2-1e7c-4dc3-b195-66dfbd24aa8f,false,Can create attack payloads that an administrator can initiate later.
Attack Simulation Administrator,c430b396-e693-46cc-96f3-db01bf8bb62a,false,Can create and manage all aspects of attack simulation campaigns.
Attribute Assignment Administrator,58a13ea3-c632-46ae-9ee0-9c0d43cd7f3d,false,Assign custom security attribute keys and values to supported Microsoft Entra objects.
