domain,metadata_comment,uri_path,ip
1302768123-l3a4w496qm.ap-shanghai.tencentscf.com,Possible Cobalt Strike C2 Domain,/api/v1/status,121.5.27.17
1318289497-6hwi9hel8e.ap-beijing.tencentscf.com,Possible Cobalt Strike C2 Domain,/jquery/2.0.1/jquery,124.222.75.188
1325813086-kvn4jlpgeu.ap-shanghai.tencentscf.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,1.15.100.187
1364170351-5ezc7c8ssf.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Domain,/api/x,43.139.170.200
1364170351-9enmkvd46p.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Domain,/api/x,43.139.170.200
1364170351-ivarm6apjz.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Domain,/api/x,43.139.170.200
1364170351-kld29tgkc1.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Domain,/api/x,124.223.90.150
39nasm720z98q.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,107.172.252.244
3se9ewodke339f0e83.connectivitytests.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,156.245.144.203
3se9ewodke339f0e83.connectivitytests.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,27.71.16.98
4176rbz8vepn6.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/dpixel,39.101.78.48
8ve3qsgxk7rs6.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/push,115.190.138.41
95mfmnebv9a1r.cfc-execute.gz.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,150.158.90.194
a3tf75e7k596x.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/v2/analytics/metrics,39.108.114.1
aaa.ad4min.com,Possible Cobalt Strike C2 Domain,/cm,198.13.42.85
acac.hopto.org,Possible Cobalt Strike C2 Domain,/fwlink,209.200.246.194
accesserdsc.com,Possible Cobalt Strike C2 Domain,/en_US/all.js,154.201.74.112
agentkernel.top,Possible Cobalt Strike C2 Domain,/iot/telemetry/ping,47.82.234.12
aliyun.commandandcontrol.top,Possible Cobalt Strike C2 Domain,/view.jsp,116.62.64.54
answers.microsofl.ip-ddns.com,Possible Cobalt Strike C2 Domain,/aaaaaaaaa,112.124.71.123
ap.johamp.com,Possible Cobalt Strike C2 Domain,/pixel.gif,151.245.90.45
api.apifox.top,Possible Cobalt Strike C2 Domain,/g.pixel,142.171.172.100
api.cryptoprot.info,Possible Cobalt Strike C2 Fronting Domain,/dhl,138.124.15.54
api.imageprovidjs.shop,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,23.148.212.123
api.shenzhenschool.fun,Possible Cobalt Strike C2 Domain,/dot.gif,115.190.233.79
api.zhimawithyou.top,Possible Cobalt Strike C2 Fronting Domain,/api/v1/node/check,165.154.225.239
api1.haedalcompany.com,Possible Cobalt Strike C2 Domain,/updates.rss,43.255.157.229
ardaplumeit.top,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,111.230.36.144
ardaplumeit.top,Possible Cobalt Strike C2 Domain,/g.pixel,111.230.36.144
asusupdateserver.asuscomm.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,38.54.112.234
at1.227api.com,Possible Cobalt Strike C2 Domain,/cx,154.83.12.132
at2.227api.com,Possible Cobalt Strike C2 Domain,/dpixel,154.83.12.132
at3.227api.com,Possible Cobalt Strike C2 Domain,/cm,154.83.12.132
audioweb.cnr.cn,Possible Cobalt Strike C2 Fronted Domain,/dist/css/bootstrap.min.css,82.157.52.180
avsdfe.win.com.cn,Possible Cobalt Strike C2 Fronting Domain,/dist/css/bootstrap.min.css,82.157.52.180
batchgit.cc,Possible Cobalt Strike C2 Domain,/api/v1/get,70.39.202.17
bgfi-groupe.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,64.89.161.183
boldtop.click,Possible Cobalt Strike C2 Domain,/ga.js,74.48.84.24
bxx2rghe05kng.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,117.72.39.83
c2.apamm.kdns.fr,Possible Cobalt Strike C2 Domain,/ca,149.88.66.234
c2.apamm.kdns.fr,Possible Cobalt Strike C2 Domain,/cm,149.88.66.234
c2.apamm.kdns.fr,Possible Cobalt Strike C2 Domain,/dpixel,149.88.66.234
c2.woshishabi.cc,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,104.143.39.243
cc.twnic.top,Possible Cobalt Strike C2 Domain,/__utm.gif,45.43.59.179
cdn.pixelcss.org,Possible Cobalt Strike C2 Domain,/www/handle/doc,203.160.54.22
cdn.soft-update.click,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,107.173.42.123
cdn.sys-update.online,Possible Cobalt Strike C2 Domain,/dpixel,51.222.87.16
cdn.winservers-network.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,154.91.85.44
cdn1.wakecoin.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,149.88.86.94
cdn2.raqeeb.dev,Possible Cobalt Strike C2 Domain,/dot.gif,18.170.69.70
cdn2.raqeeb.dev,Possible Cobalt Strike C2 Domain,/fwlink,18.170.69.70
cdn2.raqeeb.dev,Possible Cobalt Strike C2 Domain,/ptj,35.179.185.166
cf.lala1.lat,Possible Cobalt Strike C2 Domain,/api/v1/get,154.12.94.16
check.judicical.ml,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,67.219.102.244
check1.judicical.ml,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,67.219.102.244
cloud-svc.site,Possible Cobalt Strike C2 Domain,/api/ping,102.204.223.106
cloudcdn.gleeze.com,Possible Cobalt Strike C2 Fronted Domain,/extension/g43.css,47.236.91.172
cryptoprot.info,Possible Cobalt Strike C2 Fronted Domain,/dhl,138.124.15.54
cs.demo888999.com,Possible Cobalt Strike C2 Domain,/dot.gif,154.23.182.238
cs.rainbowrain.top,Possible Cobalt Strike C2 Domain,/en_US/all.js,156.224.18.21
cs.tpedu2metricstw.dpdns.org,Possible Cobalt Strike C2 Domain,/api/v1/get,45.87.53.6
cstest.mucfc.store,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,159.75.211.248
ct.feliz.icu,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,1.117.61.9
d14hh3kwt0vf8s.cloudfront.net,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js,64.89.161.183
d2.googleos-js.vip,Possible Cobalt Strike C2 Domain,/dpixel,156.245.147.98
dakk5rnsax46s.cfc-execute.su.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,8.138.167.123
dd.googleos-js.vip,Possible Cobalt Strike C2 Domain,/pixel,156.245.147.98
dev.useimage.sbs,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,23.148.212.86
dianqi1.dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.135.118.251
dianqi1.dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.154.12.150
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.135.118.251
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.154.12.150
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.135.118.251
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.154.12.150
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.135.118.251
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.154.12.150
dns1.dreamls.com,Possible Cobalt Strike C2 Domain,/updates,47.113.98.42
dns1.globalcdn.autos,Possible Cobalt Strike C2 Domain,/api/x,116.205.143.204
dns2.dreamls.com,Possible Cobalt Strike C2 Domain,/updates,47.113.98.42
