domain,metadata_comment,uri_path,ip
120vip.top,Possible Cobalt Strike C2 Fronting Domain,/ptj,106.55.188.70
1258922563-2333n6dmlx.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB,43.139.50.42
1318289497-6hwi9hel8e.ap-beijing.tencentscf.com,Possible Cobalt Strike C2 Domain,/jquery/2.0.1/jquery,124.222.75.188
1325813086-kvn4jlpgeu.ap-shanghai.tencentscf.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,1.15.100.187
1364170351-5ezc7c8ssf.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Domain,/api/x,43.139.170.200
1364170351-9enmkvd46p.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Domain,/api/x,43.139.170.200
1364170351-ivarm6apjz.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Domain,/api/x,43.139.170.200
1364170351-kld29tgkc1.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Domain,/api/x,124.223.90.150
1401675222-3ywn7qjp3t.ap-guangzhou.tencentscf.com,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,123.56.226.71
2458ccd60cc54149bb05537717d831f0--8000.ap-shanghai2.cloudstudio.club,Possible Cobalt Strike C2 Domain,/s/58462514417,27.124.30.18
39nasm720z98q.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,107.172.252.244
3se9ewodke339f0e83.connectivitytests.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,156.245.144.203
4176rbz8vepn6.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/dpixel,39.101.78.48
4yyzsm3c107cp.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,47.242.13.32
5b0rgq8mxzxgv.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,38.147.172.196
5ndg65b68274v.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,101.34.66.77
61coding.cn,Possible Cobalt Strike C2 Fronting Domain,/api/v2/telemetry/config.js,47.92.208.27
6bbwz4471hjbx.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,8.145.34.111
7p1e0901tm70n.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,120.24.169.38
8ve3qsgxk7rs6.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/pixel,115.190.138.41
95mfmnebv9a1r.cfc-execute.gz.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,111.229.43.212
95mfmnebv9a1r.cfc-execute.gz.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,150.158.90.194
a3tf75e7k596x.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/v2/analytics/metrics,39.108.114.1
abyssestrinity.com,Possible Cobalt Strike C2 Fronted Domain,/match,216.126.224.23
accesserdsc.com,Possible Cobalt Strike C2 Domain,/en_US/all.js,154.201.74.112
agentkernel.top,Possible Cobalt Strike C2 Domain,/iot/telemetry/ping,47.82.234.12
aliyun.commandandcontrol.top,Possible Cobalt Strike C2 Domain,/view.jsp,116.62.64.54
answers.microsofl.ip-ddns.com,Possible Cobalt Strike C2 Domain,/aaaaaaaaa,112.124.71.123
antams.com,Possible Cobalt Strike C2 Domain,/updates.rss,136.115.102.225
ap.johamp.com,Possible Cobalt Strike C2 Domain,/pixel.gif,151.245.90.45
api-bot.telegram.com,Possible Cobalt Strike C2 Fronting Domain,/api/v1/get,154.12.86.154
api-docs.telegram.com,Possible Cobalt Strike C2 Fronting Domain,/api/v1/get,154.12.86.154
api.apifox.top,Possible Cobalt Strike C2 Domain,/g.pixel,142.171.172.100
api.cryptoprot.info,Possible Cobalt Strike C2 Fronting Domain,/dhl,138.124.15.54
