"signer","metadata_tool","metadata_tool_type","metadata_category","metadata_severity","metadata_comment"
"*IDrive, Inc*","RemotePC","greyware_tool","Remote Access","medium","safe to block the signer"
"*Splashtop Inc*","Splashtop","greyware_tool","Remote Access","low",
"*NinjaRMM LLC*","ninjaRMM","greyware_tool","Remote Access","low",
"*LogMeIn, Inc*","LogMeIn","greyware_tool","Remote Access","low",
"*Blizzard Entertainment, Inc*","Blizzard Games","greyware_tool","Games","info",
"*Cyberghost SRL*","CyberGhost VPN","greyware_tool","VPN","low",
"*Cyberghost S.A*","CyberGhost VPN","greyware_tool","VPN","low",
"*ExprsVPN LLC*","ExprsVPN","greyware_tool","VPN","low",
"*Express Vpn LLC*","ExprsVPN","greyware_tool","VPN","low",
"*OpenVPN Inc*","OpenVPN","greyware_tool","VPN","low",
"*OpenVPN Technologies, Inc*","OpenVPN","greyware_tool","VPN","low",
"*Mullvad VPN AB*","Mullvad VPN","greyware_tool","VPN","low",
"*Nordvpn S.A*","Nordvpn","greyware_tool","VPN","low","you should still allow Nordpass"
"*THE POKEMON COMPANY INTERNATIONAL, INC*","pokemon","greyware_tool","Games","info",
"*TeamViewer*","Teamviewer","greyware_tool","Remote Access","low",
"*Telegram*","Telegram","greyware_tool","Data Exfiltration","low",
"*Dropbox, Inc*","Dropbox","greyware_tool","Data Exfiltration","low",
"*Discord Inc.*","Discord","greyware_tool","Data Exfiltration","low",
"*Epic Games*","Epic Games","greyware_tool","Games","info",
"*FileZilla Open Source Project*","FileZilla","greyware_tool","Data Exfiltration","medium",
"*NetSupport Ltd*","NetSupport","greyware_tool","Remote Access","low",
"*NinjaOne LLC*","NetSupport","greyware_tool","Remote Access","low",
"*Nir Sofer*","Nirsoft","greyware_tool","Utility","low",
"*Nmap Software LLC*","Nmap","greyware_tool","Discovery","low",
"*PortSwigger Ltd*","BurpSuite","offensive_tool","Exploitation","high",
"*Surfshark B.V*","Surfshark","greyware_tool","VPN","low",
"*Surfshark ltd*","Surfshark","greyware_tool","VPN","low",
"*WireGuard LLC*","WireGuard","greyware_tool","VPN","low",
"*Wireshark Foundation*","Wireshark","greyware_tool","Discovery","low",
"*uvnc bvba*","UltraVNC","greyware_tool","Remote Access","medium",
"Famatech Corp.","Advanced Port Scanner","greyware_tool","Discovery","medium",
"Tailscale Inc.","TailScale","greyware_tool","VPN","low",
"*ProtonVPN*","ProtonVPN","greyware_tool","VPN","low",
"Proton AG","ProtonVPN","greyware_tool","VPN","low",
