pipe_name,metadata_description,metadata_tool,metadata_category,metadata_link,metadata_priority,metadata_fp_risk,metadata_severity,metadata_tool_type,metadata_usage,metadata_comment,metadata_reference,metadata_regex_cortex
\RustPotato*,A Rust implementation of GodPotato - abusing SeImpersonate to gain SYSTEM privileges,RustPotato,Privilege Escalation,https://github.com/safedv/RustPotato/blob/92f9ab864183347c736ffe8e3bd01cb5ae053a85/src/context.rs#L111,critical,none,critical,offensive_tool,detection rule,,https://github.com/mthcht/awesome-lists,^RustPotato.*
\barnofoo\pipe\spoolss,printspoofer exploit in Shad0w,shad0w,Privilege Escalation,https://github.com/bats3c/shad0w/blob/d35b9dc74319800bbab1678aba69258532ec0200/exploits/system_printspoofer/src/exploit/exploit.c#L18,high,low,medium,offensive_tool,Hunting,,https://github.com/mthcht/awesome-lists,^barnofoo\pipe\spoolss$
\WF3ss22NHFsnBgfsHDF6,Gh0stGambit named pipe - A Dropper for Deploying Gh0st RAT,Gh0stGambit,Malware,https://github.com/mthcht/ThreatIntel-Reports/blob/2cd10a812b1438cdf9e80ca61743d4d84901eeac/Intel%20Reports/www_esentire_com/blog_a-dropper-for-deploying-gh0st-rat/content.txt#L1170,critical,none,critical,offensive_tool,detection rule,,https://github.com/mthcht/awesome-lists,^WF3ss22NHFsnBgfsHDF6$
\mojo.5688.8052.1838949397870888770b,Gootloader Cobalt Strike SMB beacon configuration,Gootloader,Malware,https://github.com/mthcht/ThreatIntel-Reports/blob/2cd10a812b1438cdf9e80ca61743d4d84901eeac/Intel%20Reports/thedfirreport_com/2024_02_26_seo-poisoning-to-domain-control-the-gootloader-saga-continues/content.txt#L1438,high,low,high,offensive_tool,detection rule,,https://github.com/mthcht/awesome-lists,^mojo.5688.8052.1838949397870888770b$
\WkSvcPipeMgr_JORW2e,BlackSuit ransomware configured named pipe,BlackSuit,Ransomware,https://github.com/mthcht/ThreatIntel-Reports/blob/2cd10a812b1438cdf9e80ca61743d4d84901eeac/Intel%20Reports/thedfirreport_com/2024_08_26_blacksuit-ransomware/content.txt#L1150,high,low,high,offensive_tool,detection rule,,https://github.com/mthcht/awesome-lists,^WkSvcPipeMgr_JORW2e$
\susrv,RawPOS Malware named pipe,RawPOS,Malware,https://github.com/mthcht/ThreatIntel-Reports/blob/2cd10a812b1438cdf9e80ca61743d4d84901eeac/Intel%20Reports/sjc1-te-ftp_trendmicro_com/images_tex_pdf_RawPOS_20Technical_20Brief_pdf/content.txt#L708,critical,none,critical,offensive_tool,detection rule,,https://github.com/mthcht/awesome-lists,^susrv$
\WCEServicePipe,Windows Credential Editor (WCE) default named pipe,Windows Credential Editor,Credential Access,https://github.com/returnvar/wce,critical,none,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/U-W/WCE.csv,^WCEServicePipe$
\SigmaPotato,windows privilege escalation utility from the Potato family of exploits leveraging the SeImpersonate right to obtain SYSTEM privileges (similar to godpotato),Sigmapotato,Privilege Escalation,https://github.com/tylerdotrar/SigmaPotato/blob/ca05cf428324e69c9b3065f6041047695b3ce0d9/NativeAPI/SigmaPotatoContext.cs#L34,critical,none,critical,offensive_tool,detection rule,Pipe create event,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/SigmaPotato.csv,^SigmaPotato$
\NamedPipeMaster,a tool used to analyze and monitor named pipes,NamedPipeMaster,Exploitation,https://github.com/zeze-zeze/NamedPipeMaster/blob/c01a39af26d9bdc567f61306e5399e40a11a31f2/NamedPipeMasterBase/defines.h#L7,critical,none,critical,offensive_tool,detection rule,Pipe create event,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/L-N/NamedPipeMaster.csv,^NamedPipeMaster$
\gsecdump_*,credential dumper used to obtain password hashes and LSA secrets from Windows operating systems,gsecdump,Credential Access,https://web.archive.org/web/20150606043951if_/http://www.truesec.se/Upload/Sakerhet/Tools/gsecdump-v2b5.exe,critical,none,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/E-H/gsecdump.csv,^gsecdump_.*
\PipeCmd_communicaton,Pipecmd chinese hacking tool default named pipe,Pipecmd,Exploitation,https://www.virustotal.com/gui/file/e469117685cd572da1f4371a093b91d771b2ced926c57cf5d960f875bc516a32,critical,none,critical,offensive_tool,detection rule,,https://github.com/Neo23x0/signature-base/blob/758d5b0ab4f443bc9ae08f7eea680409cf70ed9a/yara/thor-hacktools.yar#L3001,^PipeCmd_communicaton$
\beyondexec*,BeyondExec RAT - rexesvr.exe named pipe,BeyondExec,Malware,https://www.hybrid-analysis.com/sample/3d3e3f0708479d951ab72fa04ac63acc7e5a75a5723eb690b34301580747032c?environmentId=100,critical,none,critical,offensive_tool,detection rule,,https://github.com/Neo23x0/signature-base/blob/758d5b0ab4f443bc9ae08f7eea680409cf70ed9a/yara/thor-hacktools.yar#L3645,^beyondexec.*
\Pipe name,default named pipe example for C3 named pipe configuration,C3,C2,https://github.com/WithSecureLabs/C3/blob/e1b9922d199e45e222001a3afe47757349f24e7a/Src/Common/FSecure/C3/Interfaces/Peripherals/Grunt.cpp#L265,high,medium,medium,offensive_tool,Hunting,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/C3.csv,^Pipe name$
\HighPriv,EasySystem.ps1 default pipe service usage,EasySystem,Privilege Escalation,https://github.com/S3cur3Th1sSh1t/Creds/blob/f71e780c51fdc2fdabe4e51831fa6289b1bede96/PowershellScripts/EasySystem.ps1#L578,critical,none,critical,offensive_tool,detection rule,,https://github.com/mthcht/awesome-lists,^HighPriv$
\ElevationPipe,default named pipe from ShimMe presented at Defcon32 - Manipulating Shim and Office for Code Injection,ShimMe,Privilege Escalation,https://github.com/deepinstinct/ShimMe/blob/38fc3f922d8e4117a2256e6b9b11b726a5468244/Injected/Injected.h#L7,critical,none,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/ShimMe.csv,^ElevationPipe$
\megacmdpipe_*,Command Line Interactive and Scriptable Application to access MEGA (hosting service abused by attackers),MEGAcmd,Data Exfiltration,https://github.com/meganz/MEGAcmd/blob/d0a1e8e2c7d70fd951ef47d2d92243a65f0bb6eb/src/megacmdcommonutils.cpp#L1529,critical,low,high,greyware_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/L-N/MEGAcmd.csv,^megacmdpipe_.*
\hmpalert,legitimate sophos hitmanpro driver vulnerable to SYSTEM privilege escalation before version 3.8 - abused by attackers,hitmanpro,Privilege Escalation,https://raw.githubusercontent.com/mthcht/Purpleteam/main/Simulation/Windows/POC/hitmanpro/CVE-2018-3971.py,medium,high,low,greyware_tool,Hunting,false positives expected,https://github.com/mthcht/awesome-lists,^hmpalert$
\syelog,associated with Microsoft's Detours - a library used for intercepting Win32 functions - used by the offensive tool defender-control,Detours,Defense Evasion,https://github.com/pgkt04/defender-control/blob/f4bb9f3340c83e6a0ab50650697ce865e935ba37/src/detour/86/include/syelog.h#L21,low,medium,low,greyware_tool,Hunting,false positives expected - low severity,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/defender-control.csv,^syelog$
\docker_wsl,deprecated docker wsl cotainer usage,wsl,compliance,https://github.com/MicrosoftDocs/WSL/blob/b6dc675e3304e8d52b54749000575cc2da6a4c0a/WSL/tutorials/wsl-containers.md?plain=1#L148,low,high,info,greyware_tool,Hunting,,https://github.com/mthcht/awesome-lists,^docker_wsl$
\orbit-osquery-extension,Orbit is a lightweight osquery installer and autoupdater used by Fleetdm,fleetdm,RMM,https://github.com/fleetdm/fleet/blob/08bc4fe8b50e6f97195106cfbb72dd1d7f853286/orbit/pkg/osquery/osquery.go#L193,high,low,medium,greyware_tool,Hunting,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/E-H/fleetdm.csv,^orbit-osquery-extension$
\Godpotato*,windows privilege escalation utility from the Potato family of exploits leveraging the SeImpersonate right to obtain SYSTEM privileges,GodPotato,Privilege Escalation,https://github.com/BeichenDream/GodPotato,critical,none,critical,offensive_tool,detection rule,full pipe name observed: \Godpotato\pipe\epmapper,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/E-H/GodPotato.csv,^Godpotato.*
\DeadPotato*,windows privilege escalation utility from the Potato family of exploits leveraging the SeImpersonate right to obtain SYSTEM privileges,DeadPotato,Privilege Escalation,https://github.com/lypd0/DeadPotato,critical,none,critical,offensive_tool,detection rule,full pipe name observed: \DeadPotato\pipe\epmapper,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/DeadPotato.csv,^DeadPotato.*
