commandline,metadata_tool,metadata_description,metadata_link,metadata_comment
*AdFind.zip*,adfind,Adfind is a command-line tool often used by administrators for Active Directory queries. However. attackers can misuse it to gather valuable information about the network environment. including user accounts. group memberships. domain controllers. and domain trusts. This gathered intelligence can aid in lateral movement. privilege escalation. or even data exfiltration. Such reconnaissance activities often precede more damaging attacks.,https://www.joeware.net/freetools/tools/adfind/usage.htm,
*tools/adfind*,adfind,Adfind is a command-line tool often used by administrators for Active Directory queries. However. attackers can misuse it to gather valuable information about the network environment. including user accounts. group memberships. domain controllers. and domain trusts. This gathered intelligence can aid in lateral movement. privilege escalation. or even data exfiltration. Such reconnaissance activities often precede more damaging attacks.,https://thedfirreport.com/2022/08/08/bumblebee-roasts-its-way-to-domain-admin/,
*adfind.exe*,adfind,Adfind is a command-line tool often used by administrators for Active Directory queries. However. attackers can misuse it to gather valuable information about the network environment. including user accounts. group memberships. domain controllers. and domain trusts. This gathered intelligence can aid in lateral movement. privilege escalation. or even data exfiltration. Such reconnaissance activities often precede more damaging attacks.,https://thedfirreport.com/2022/08/08/bumblebee-roasts-its-way-to-domain-admin/,
* -sc trustdump*,adfind,Adfind is a command-line tool often used by administrators for Active Directory queries. However. attackers can misuse it to gather valuable information about the network environment. including user accounts. group memberships. domain controllers. and domain trusts. This gathered intelligence can aid in lateral movement. privilege escalation. or even data exfiltration. Such reconnaissance activities often precede more damaging attacks.,https://thedfirreport.com/2022/08/08/bumblebee-roasts-its-way-to-domain-admin/,
* dclist *,adfind,Adfind is a command-line tool often used by administrators for Active Directory queries. However. attackers can misuse it to gather valuable information about the network environment. including user accounts. group memberships. domain controllers. and domain trusts. This gathered intelligence can aid in lateral movement. privilege escalation. or even data exfiltration. Such reconnaissance activities often precede more damaging attacks.,https://thedfirreport.com/2022/08/08/bumblebee-roasts-its-way-to-domain-admin/,
"*name=""Domain Admins*",adfind,Adfind is a command-line tool often used by administrators for Active Directory queries. However. attackers can misuse it to gather valuable information about the network environment. including user accounts. group memberships. domain controllers. and domain trusts. This gathered intelligence can aid in lateral movement. privilege escalation. or even data exfiltration. Such reconnaissance activities often precede more damaging attacks.,https://thedfirreport.com/2022/08/08/bumblebee-roasts-its-way-to-domain-admin/,
*computers_pwdnotreqd*,adfind,Adfind is a command-line tool often used by administrators for Active Directory queries. However. attackers can misuse it to gather valuable information about the network environment. including user accounts. group memberships. domain controllers. and domain trusts. This gathered intelligence can aid in lateral movement. privilege escalation. or even data exfiltration. Such reconnaissance activities often precede more damaging attacks.,https://thedfirreport.com/2022/08/08/bumblebee-roasts-its-way-to-domain-admin/,
*adfind.bat*,adfind,Adfind is a command-line tool often used by administrators for Active Directory queries. However. attackers can misuse it to gather valuable information about the network environment. including user accounts. group memberships. domain controllers. and domain trusts. This gathered intelligence can aid in lateral movement. privilege escalation. or even data exfiltration. Such reconnaissance activities often precede more damaging attacks.,https://thedfirreport.com/2022/08/08/bumblebee-roasts-its-way-to-domain-admin/,
*adfind -f *,adfind,Adfind is a command-line tool often used by administrators for Active Directory queries. However. attackers can misuse it to gather valuable information about the network environment. including user accounts. group memberships. domain controllers. and domain trusts. This gathered intelligence can aid in lateral movement. privilege escalation. or even data exfiltration. Such reconnaissance activities often precede more damaging attacks.,https://thedfirreport.com/2022/08/08/bumblebee-roasts-its-way-to-domain-admin/,
*neo4j start*,Neo4j,Neo4j queries - Computers AllowedToDelegate to other computers,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
