dest,root_domain,metadata_comment,metadata_severity
*.1rpc.io,1rpc.io,"Collapsed from 2 specific hosts (1rpc.io, 1rpc.io). Blocks any future sibling on the same apex without a list update. Collateral: no known non-RPC content on this apex. Live IOC, the fake-CAPTCHA payload is read through it.",critical
bsc-testnet.4everland.org,4everland.org,"BSC testnet via 4EVERLAND. Contract holding the ClickFix payload sits on testnet, out of most filters.",critical
*.binance.org,binance.org,"Collapsed from 11 specific hosts (bsc-dataseed.binance.org, bsc-dataseed1.binance.org, bsc-dataseed2.binance.org, ...). Blocks any future sibling on the same apex without a list update. Collateral: apex is legacy Binance Chain, not binance.com - low collateral. Testnet gas comes free from a faucet, so the C2 contract costs nothing to host.",critical
*.bnbchain.org,bnbchain.org,"Collapsed from 13 specific hosts (bsc-dataseed1.bnbchain.org, bsc-dataseed2.bnbchain.org, bsc-dataseed3.bnbchain.org, ...). Blocks any future sibling on the same apex without a list update. Collateral: apex also serves BNB Chain docs and the testnet faucet - blocking the faucet is a bonus, not a cost. Testnet gas comes free from a faucet, so the C2 contract costs nothing to host.",critical
*.bscscan.com,bscscan.com,"Collapsed from 3 specific hosts (api-testnet.bscscan.com, api.bscscan.com, testnet.bscscan.com). Blocks any future sibling on the same apex without a list update. Collateral: apex also serves the explorer web UI - EXEMPT SOC. Testnet gas comes free from a faucet, so the C2 contract costs nothing to host.",critical
*.48.club,48.club,"Collapsed from 2 specific hosts (koge-rpc-bsc.48.club, rpc-bsc.48.club). Blocks any future sibling on the same apex without a list update. Collateral: no known non-RPC content on this apex. Original EtherHiding chain, payload lives in contract storage.",high
*.alchemy.com,alchemy.com,"Alchemy RPC; wildcard also blocks docs and dashboard. One aggregator reaches every chain the loader needs, no signup.",high
*.alchemyapi.io,alchemyapi.io,"Alchemy legacy domain. Keyless public tier, enough to read an attacker contract.",high
*.allthatnode.com,allthatnode.com,"All That Node multi-chain RPC (ChainUp). One aggregator reaches every chain the loader needs, no signup.",high
*.ankr.com,ankr.com,Multi-chain public RPC; wildcard also blocks marketing site. Used as fallback when a chain's own endpoint throtles.,high
*.aptoslabs.com,aptoslabs.com,"Collapsed from 3 specific hosts (fullnode.mainnet.aptoslabs.com, api.mainnet.aptoslabs.com, rpc.mainnet.aptoslabs.com). Blocks any future sibling on the same apex without a list update. Collateral: no known non-RPC content on this apex. Staging layer of the same three-chain resolver chain.",high
*.arbitrum.io,arbitrum.io,"Collapsed from 3 specific hosts (arb1.arbitrum.io, nova.arbitrum.io, sepolia-rollup.arbitrum.io). Blocks any future sibling on the same apex without a list update. Collateral: apex also serves the Arbitrum bridge and docs. Free faucet gas and light filtering make it easy contract hosting.",high
api.avax-test.network,avax-test.network,Avalanche Fuji testnet RPC. Free faucet gas and light filtering make it easy contract hosting.,high
*.base.org,base.org,"Collapsed from 2 specific hosts (mainnet.base.org, sepolia.base.org). Blocks any future sibling on the same apex without a list update. Collateral: apex also serves Base docs and the bridge. Cheap L2 with heavy legit trafic, good cover for a dead drop.",high
*.bdnodes.net,bdnodes.net,"Blockdaemon node domain. Keyless public tier, enough to read an attacker contract.",high
*.blastapi.io,blastapi.io,"Bware Labs multi-chain RPC. One aggregator reaches every chain the loader needs, no signup.",high
*.blockdaemon.com,blockdaemon.com,"Blockdaemon node infrastructure. One aggregator reaches every chain the loader needs, no signup.",high
*.blockeden.xyz,blockeden.xyz,"BlockEden multi-chain RPC. Keyless public tier, enough to read an attacker contract.",high
*.blockjoy.com,blockjoy.com,"BlockJoy node hosting. One aggregator reaches every chain the loader needs, no signup.",high
*.blockpi.network,blockpi.network,BlockPI multi-chain RPC. Used as fallback when a chain's own endpoint throttles.,high
*.blxrbdn.com,blxrbdn.com,bloXroute RPC and MEV relay. Used as fallback when a chain's own endpoint throttles.,high
sns-sdk-proxy.bonfida.workers.dev,bonfida.workers.dev,Bonfida SNS resolution proxy. Stands in for DNS on a chain-hosted C2 name.,high
builder0x69.io,builder0x69.io,Ethereum block builder RPC. ChainDrop packages pull their C2 pointer from mainnet here.,high
matic-mainnet-full-rpc.bwarelabs.com,bwarelabs.com,"Polygon RPC via Bware Labs. Same contracts as the IOC endpoints, different door.",high
*.callstaticrpc.com,callstaticrpc.com,CallStatic public RPC. Used as fallback when a chain's own endpoint throttles.,high
*.chainbase.online,chainbase.online,Chainbase data and RPC. Used as fallback when a chain's own endpoint throttles.,high
*.chainnodes.org,chainnodes.org,"ChainNodes RPC provider. Keyless public tier, enough to read an attacker contract.",high
*.chainstacklabs.com,chainstacklabs.com,"Chainstack public endpoints. One aggregator reaches every chain the loader needs, no signup.",high
*.chainup.com,chainup.com,"ChainUp node infrastructure. Keyless public tier, enough to read an attacker contract.",high
cloudflare-eth.com,cloudflare-eth.com,"Ethereum public RPC via Cloudflare. Reads cost no gas, so mainnet is as cheap as anywhere for a dead drop.",high
*.defibit.io,defibit.io,"Collapsed from 4 specific hosts (bsc-dataseed1.defibit.io, bsc-dataseed2.defibit.io, bsc-dataseed3.defibit.io, ...). Blocks any future sibling on the same apex without a list update. Collateral: no known non-RPC content on this apex. eth_call on the attacker contract hands back the next-stage URL.",high
*.drpc.org,drpc.org,"Multi-chain decentralised RPC aggregator. Keyless public tier, enough to read an attacker contract.",high
*.dwellir.com,dwellir.com,"Dwellir RPC provider. Keyless public tier, enough to read an attacker contract.",high
*.envio.dev,envio.dev,Envio HyperRPC and indexing. Covers BSC and Polygon without a dedicated endpoint.,high
*.eth.limo,eth.limo,"ENS gateway subdomains. Resolves .sol and .eth names for browsers that cannot, C2 seen behind it.",high
eth.link,eth.link,"ENS to IPFS resolution gateway. Resolves .sol and .eth names for browsers that cannot, C2 seen behind it.",high
*.etherscan.io,etherscan.io,"Collapsed from 3 specific hosts (api-sepolia.etherscan.io, api.etherscan.io, api.optimistic.etherscan.io). Blocks any future sibling on the same apex without a list update. Collateral: apex also serves the explorer web UI - EXEMPT SOC or they lose their evidence source. Free faucet gas and light filtering make it easy contract hosting.",high
*.everstake.one,everstake.one,"Everstake node services. Keyless public tier, enough to read an attacker contract.",high
*.extrnode.com,extrnode.com,"Extrnode Solana RPC. Keyless public tier, enough to read an attacker contract.",high
*.figment.io,figment.io,Figment node infrastructure. Covers BSC and Polygon without a dedicated endpoint.,high
rpc.flashbots.net,flashbots.net,"Ethereum MEV-protected RPC. Reads cost no gas, so mainnet is as cheap as anywhere for a dead drop.",high
*.gashawk.io,gashawk.io,GasHawk RPC relay. Covers BSC and Polygon without a dedicated endpoint.,high
*.gateway.fm,gateway.fm,Gateway.fm RPC provider. Covers BSC and Polygon without a dedicated endpoint.,high
*.getblock.io,getblock.io,GetBlock multi-chain RPC. Used as fallback when a chain's own endpoint throttles.,high
*.grove.city,grove.city,"Grove gateway for Pocket Network. Keyless public tier, enough to read an attacker contract.",high
*.helius-rpc.com,helius-rpc.com,"Helius Solana RPC. One aggregator reaches every chain the loader needs, no signup.",high
*.infura.io,infura.io,Infura RPC; wildcard also blocks docs and dashboard. Used as fallback when a chain's own endpoint throttles.,high
*.instantnodes.io,instantnodes.io,"InstantNodes Solana RPC. One aggregator reaches every chain the loader needs, no signup.",high
*.ironforge.cloud,ironforge.cloud,Ironforge Solana RPC. Used as fallback when a chain's own endpoint throttles.,high
*.kingnodes.com,kingnodes.com,"Kingnodes Cosmos RPC. Keyless public tier, enough to read an attacker contract.",high
*.lava.build,lava.build,Lava Network RPC. Used as fallback when a chain's own endpoint throttles.,high
*.lavenderfive.com,lavenderfive.com,"Lavender.Five Cosmos RPC. One aggregator reaches every chain the loader needs, no signup.",high
*.llamarpc.com,llamarpc.com,"LlamaNodes public RPC. One aggregator reaches every chain the loader needs, no signup.",high
rpc-mainnet.matic.network,matic.network,"Polygon legacy public RPC. Same contracts as the IOC endpoints, different door.",high
*.maticvigil.com,maticvigil.com,"Collapsed from 2 specific hosts (rpc-mainnet.maticvigil.com, rpc-mumbai.maticvigil.com). Blocks any future sibling on the same apex without a list update. Collateral: no known non-RPC content on this apex. Free faucet gas and light filtering make it easy contract hosting.",high
*.merkle.io,merkle.io,"Merkle private RPC. Keyless public tier, enough to read an attacker contract.",high
rpc.mevblocker.io,mevblocker.io,Ethereum MEV-protected RPC. ChainDrop packages pull their C2 pointer from mainnet here.,high
*.moralis-nodes.com,moralis-nodes.com,"Moralis node infrastructure. One aggregator reaches every chain the loader needs, no signup.",high
*.moralis.io,moralis.io,Moralis web3 API and RPC. Covers BSC and Polygon without a dedicated endpoint.,high
*.ninicoin.io,ninicoin.io,"Collapsed from 4 specific hosts (bsc-dataseed1.ninicoin.io, bsc-dataseed2.ninicoin.io, bsc-dataseed3.ninicoin.io, ...). Blocks any future sibling on the same apex without a list update. Collateral: no known non-RPC content on this apex. eth_call on the attacker contract hands back the next-stage URL.",high
*.nodereal.io,nodereal.io,"NodeReal RPC, heavy BSC coverage. Keyless public tier, enough to read an attacker contract.",high
*.nownodes.io,nownodes.io,NOWNodes multi-chain RPC. Used as fallback when a chain's own endpoint throttles.,high
*.omniatech.io,omniatech.io,OMNIA multi-chain RPC. Covers BSC and Polygon without a dedicated endpoint.,high
*.onfinality.io,onfinality.io,OnFinality multi-chain RPC. Covers BSC and Polygon without a dedicated endpoint.,high
