id,asr_rule,metadata_comment,metadata_tactic
56A863A9-875E-4185-98A7-B882C64B5CE5,"Block abuse of exploited vulnerable signed drivers","Helps prevent exploitation of known vulnerable signed drivers, reducing the risk of kernel-level malware.",Defense Evasion
7674BA52-37EB-4A4F-A9A1-F0F9A1619A2C,"Block Adobe Reader from creating child processes","Limits Adobe Reader's ability to spawn child processes, mitigating potential attack vectors via PDF files.",Execution
D4F940AB-401B-4EFC-AADC-AD5F3C50688A,"Block all Office applications from creating child processes","Prevents Office applications from creating child processes, reducing the risk of macro-based attacks.",Execution
9E6C4E1F-7D60-472F-BA1A-A39EF669E4B2,"Block credential stealing from the Windows local security authority subsystem (lsass.exe)","Protects against credential dumping attacks by blocking access to LSASS.",Credential Access
BE9BA2D9-53EA-4CDC-84E5-9B1EEEE46550,"Block executable content from email client and webmail","Prevents execution of malicious code delivered via email clients or webmail, enhancing email security.",Execution
01443614-CD74-433A-B99E-2ECDC07BFC25,"Block executable files from running unless they meet a prevalence, age, or trusted list criterion","Ensures only trusted and commonly used executable files are allowed to run, reducing the risk of running malicious software.",Execution
5BEB7EFE-FD9A-4556-801D-275E5FFC04CC,"Block execution of potentially obfuscated scripts","Prevents execution of scripts that are obfuscated, mitigating script-based malware attacks.",Execution
D3E037E1-3EB8-44C8-A917-57927947596D,"Block JavaScript or VBScript from launching downloaded executable content","Blocks script engines from executing potentially malicious downloaded content.",Execution
3B576869-A4EC-4529-8536-B80A7769E899,"Block Office applications from creating executable content","Reduces the risk of Office macros and exploits creating malicious executable files.",Execution
75668C1F-73B5-4CF0-BB93-3ECF5CB7CC84,"Block Office applications from injecting code into other processes","Prevents Office applications from injecting code into other processes, mitigating exploit techniques.",Privilege Escalation
26190899-1602-49E8-8B27-EB1D0A1CE869,"Block Office communication application from creating child processes","Prevents communication apps like Outlook from creating child processes, reducing the risk of phishing and email-based attacks.",Execution
E6DB77E5-3DF2-4CF1-B95A-636979351E5B,"Block persistence through WMI event subscription","Mitigates persistence mechanisms by blocking malicious WMI event subscriptions.",Persistence
D1E49AAC-8F56-4280-B9BA-993A6D77406C,"Block process creations originating from PSExec and WMI commands","Prevents lateral movement and remote execution attacks using PSExec and WMI.",Lateral Movement
33DDEDF1-C6E0-47CB-833E-DE6133960387,"Block rebooting machine in Safe Mode (preview)","Prevents attackers from rebooting machines into Safe Mode to disable security tools.",Defense Evasion
B2B3F03D-6A65-4F7B-A9C7-1C7EF74A9BA4,"Block untrusted and unsigned processes that run from USB","Prevents execution of potentially malicious files from USB devices, enhancing removable media security.",Execution
C0033C00-D16D-4114-A5A0-DC9B3A7D2CEB,"Block use of copied or impersonated system tools (preview)","Mitigates attacks using copied or impersonated legitimate system tools.",Defense Evasion
A8F5898E-1DC8-49A9-9878-85004B8A61E6,"Block Webshell creation for Servers","Prevents the creation of webshells on servers, reducing the risk of web-based attacks and persistence.",Persistence
92E97FA1-2EDF-4476-BDD6-9DD0B4DDDC7B,"Block Win32 API calls from Office macros","Mitigates macro-based attacks by blocking dangerous API calls from Office macros.",Execution
C1DB55AB-C21A-4637-BB3F-A12568109D35,"Use advanced protection against ransomware","Enhances ransomware protection by leveraging advanced detection and mitigation techniques.",Impact
