permission,permission_type,permission_id,display_name,description,admin_consent_required,severity,severity_score,privileged,risk_family,resource,operation,constraint,scope_model,broad_scope,limited_or_resource_scoped,write_capability,read_capability,delete_capability,send_or_impersonation_capability,privilege_assignment_capability,control_plane,auth_or_credential_surface,business_data_exposure,security_data_exposure,device_management_surface,destructive_capability,recommended_handling,least_privilege_hint,risk_rationale,source,source_section,source_url,catalog_date,programmatic_catalog_query,risk_model,notes
RoleManagement.ReadWrite.Exchange,Application,025d3225-3f02-4882-b4c0-cd5b541a4e80,Read and write Exchange Online RBAC configuration,"Allows the app to read and manage the role-based access control (RBAC) settings for your organization's Exchange Online service, without a signed-in user. This includes reading, creating, updating, and deleting Exchange management role definitions, role groups, role group membership, role assignments, management scopes, and role assignment policies.",Yes,Critical,100,true,Privilege / consent / role assignment,RoleManagement,ReadWrite,Exchange,Tenant-wide app permission,true,false,true,true,true,false,true,true,false,true,false,false,true,"Block by default / require exception, owner, business justification, expiration",Treat as privileged identity management; restrict to break-glass or approved automation only.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; delete/full-control/destructive capability; can affect role/permission/consent assignments; identity/directory/tenant control-plane surface; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential; explicit critical permission in SOC identity model,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsAppInstallation.ReadWriteAndConsentForChat.All,Application,6e74eff9-4a21-45d6-bc03-3a20f61f8281,Manage installation and permission grants of Teams apps for all chats,"Allows the app to read, install, upgrade, and uninstall Teams apps in any chat, without a signed-in user. Gives the ability to manage permission grants for accessing those specific chats' data.",Yes,Critical,100,true,Privilege / consent / role assignment,TeamsAppInstallation,ReadWriteAndConsentForChat,All,Tenant-wide app permission,true,true,true,true,false,false,true,true,true,true,false,false,false,"Block by default / require exception, owner, business justification, expiration",Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,"app-only token/no signed-in user context; admin consent required; tenant/org/all scope; limited/resource-specific/owned/selected scope; write/manage/action capability; can affect role/permission/consent assignments; authentication, credential, consent, or policy surface; identity/directory/tenant control-plane surface; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsAppInstallation.ReadWriteAndConsentForTeam.All,Application,b0c13be0-8e20-4bc5-8c55-963c23a39ce9,Manage installation and permission grants of Teams apps for all teams,"Allows the app to read, install, upgrade, and uninstall Teams apps in any team, without a signed-in user. Gives the ability to manage permission grants for accessing those specific teams' data.",Yes,Critical,100,true,Privilege / consent / role assignment,TeamsAppInstallation,ReadWriteAndConsentForTeam,All,Tenant-wide app permission,true,true,true,true,false,false,true,true,true,true,false,false,false,"Block by default / require exception, owner, business justification, expiration",Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,"app-only token/no signed-in user context; admin consent required; tenant/org/all scope; limited/resource-specific/owned/selected scope; write/manage/action capability; can affect role/permission/consent assignments; authentication, credential, consent, or policy surface; identity/directory/tenant control-plane surface; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsAppInstallation.ReadWriteAndConsentForUser.All,Application,32ca478f-f89e-41d0-aaf8-101deb7da510,Manage installation and permission grants of Teams apps in a user account,"Allows the app to read, install, upgrade, and uninstall Teams apps in any user account, without a signed-in user. Gives the ability to manage permission grants for accessing those specific users' data.",Yes,Critical,100,true,Privilege / consent / role assignment,TeamsAppInstallation,ReadWriteAndConsentForUser,All,Tenant-wide app permission,true,true,true,true,false,false,true,true,true,true,false,false,false,"Block by default / require exception, owner, business justification, expiration",Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,"app-only token/no signed-in user context; admin consent required; tenant/org/all scope; limited/resource-specific/owned/selected scope; write/manage/action capability; can affect role/permission/consent assignments; authentication, credential, consent, or policy surface; identity/directory/tenant control-plane surface; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsAppInstallation.ReadWriteAndConsentSelfForChat.All,Application,ba1ba90b-2d8f-487e-9f16-80728d85bb5c,Allow the Teams app to manage itself and its permission grants for all chats,"Allows a Teams app to read, install, upgrade, and uninstall itself for any chat, without a signed-in user, and manage its permission grants for accessing those specific chats' data.",Yes,Critical,100,true,Privilege / consent / role assignment,TeamsAppInstallation,ReadWriteAndConsentSelfForChat,All,Tenant-wide app permission,true,true,true,true,false,false,true,true,true,true,false,false,false,"Block by default / require exception, owner, business justification, expiration",Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,"app-only token/no signed-in user context; admin consent required; tenant/org/all scope; limited/resource-specific/owned/selected scope; write/manage/action capability; can affect role/permission/consent assignments; authentication, credential, consent, or policy surface; identity/directory/tenant control-plane surface; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsAppInstallation.ReadWriteAndConsentSelfForTeam.All,Application,1e4be56c-312e-42b8-a2c9-009600d732c0,Allow the Teams app to manage itself and its permission grants for all teams,"Allows a Teams app to read, install, upgrade, and uninstall itself for any team, without a signed-in user, and manage its permission grants for accessing those specific teams' data.",Yes,Critical,100,true,Privilege / consent / role assignment,TeamsAppInstallation,ReadWriteAndConsentSelfForTeam,All,Tenant-wide app permission,true,true,true,true,false,false,true,true,true,true,false,false,false,"Block by default / require exception, owner, business justification, expiration",Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,"app-only token/no signed-in user context; admin consent required; tenant/org/all scope; limited/resource-specific/owned/selected scope; write/manage/action capability; can affect role/permission/consent assignments; authentication, credential, consent, or policy surface; identity/directory/tenant control-plane surface; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsAppInstallation.ReadWriteAndConsentSelfForUser.All,Application,a87076cf-6abd-4e56-8559-4dbdf41bef96,Allow the Teams app to manage itself and its permission grants in all user accounts,"Allows a Teams app to read, install, upgrade, and uninstall itself for any user account, without a signed-in user, and manage its permission grants for accessing those specific users' data.",Yes,Critical,100,true,Privilege / consent / role assignment,TeamsAppInstallation,ReadWriteAndConsentSelfForUser,All,Tenant-wide app permission,true,true,true,true,false,false,true,true,true,true,false,false,false,"Block by default / require exception, owner, business justification, expiration",Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,"app-only token/no signed-in user context; admin consent required; tenant/org/all scope; limited/resource-specific/owned/selected scope; write/manage/action capability; can affect role/permission/consent assignments; authentication, credential, consent, or policy surface; identity/directory/tenant control-plane surface; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
DelegatedAdminRelationship.ReadWrite.All,Application,cc13eba4-8cd8-44c6-b4d4-f93237adce58,Manage Delegated Admin relationships with customers,Allows the app to manage (create-update-terminate) Delegated Admin relationships with customers and role assignments to security groups for active Delegated Admin relationships without a signed-in user.,Yes,Critical,99,true,Privilege / consent / role assignment,DelegatedAdminRelationship,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,true,false,false,true,true,false,false,"Block by default / require exception, owner, business justification, expiration",Restrict to approved security tooling; monitor for mass export or write actions.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; can affect role/permission/consent assignments; security/audit/compliance data exposure; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential; broad app-only security/compliance visibility/control,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
DeviceManagementConfiguration.ReadWrite.All,Application,9241abd9-d0e6-425a-bd4f-47ba86e767a4,Read and write Microsoft Intune device configuration and policies,"Allows the app to read and write properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups, without a signed-in user.",Yes,Critical,97,true,Device / endpoint management,DeviceManagementConfiguration,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,true,true,false,"Block by default / require exception, owner, business justification, expiration",Restrict to approved endpoint-management automation and monitor device/action changes.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; endpoint/device-management surface; security/audit/compliance data exposure; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential; broad app-only endpoint visibility/control; broad app-only security/compliance visibility/control; explicit critical permission in SOC identity model,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
PrivilegedAccess.ReadWrite.AzureADGroup,Application,2f6817f8-7b12-4f0f-bc18-eeaf60705a9e,Read and write privileged access to Azure AD groups,"Allows the app to request and manage time-based assignment and just-in-time elevation (including scheduled elevation) of Azure AD groups in your organization, without a signed-in user.",Yes,Critical,95,true,Privilege / consent / role assignment,PrivilegedAccess,ReadWrite,AzureADGroup,Tenant-wide app permission,true,false,true,true,false,false,true,true,false,true,false,false,false,"Block by default / require exception, owner, business justification, expiration",Treat as privileged identity management; restrict to break-glass or approved automation only.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; can affect role/permission/consent assignments; identity/directory/tenant control-plane surface; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential; explicit critical permission in SOC identity model,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
