file_path,file_hash
*Windows\\System32\\ComputerDefaults.exe,7B0334C329E40A542681BCAFF610AE58ADA8B1F77FF6477734C1B8B9A951EF4C
*Windows\\System32\\pskill64.exe,75899C5ACE600406503A937EF550AB0BBD0F6E0188B9E93E206BEB1DFC79BB81
*Windows\\System32\\SearchProtocolHost.exe,92207D685D9EEEB877053EEAF07CF35FFE2CADFF7A2338A95384FC83C4529C11
*Windows\\System32\\IME\\IMETC\\IMTCLNWZ.EXE,7E217E293D846D488C1CD3BB633FC1FE1A2D6B5F522D35C872D8E16DE8EBD2B3
*Windows\\System32\\odbcad32.exe,A7DE309D8A5A68FB4623D41914AB5F03D6FF7BB2E0B5927AFB402DA137BE6CA9
*Windows\\System32\\CompatTelRunner.exe,C52B831C4471E30EF6BD816DB7B62FEFEB3FA4EF0CE2CF46D70E527F624ABE2D
*Windows\\System32\\microsoft.windows.softwarelogo.showdesktop.exe,516C0D862BE5D18748AB6C3AED10773F4086B2FEB0747CEE5560CCA21F75B7D7
*Windows\\System32\\Exploitation\\WinCreds.exe,8D493DDDBB06AF87E294766D525C0477C6EA0DEDFE18F3B503119B2065501A31
*Windows\\System32\\EaseOfAccessDialog.exe,0B1731562413EAA972B373CD7388C644A3059940CE67EB89668E4073F3E068DC
*Windows\\System32\\DsmUserTask.exe,88352FB0B4550A4A8C24CFC2E23F6DB551BB60C41B2FE3DB0797A3B7B10E6064
*Windows\\System32\\psloglist64.exe,E2587DD0AA50D75B545E2100FB2BAB0B0607FF7E87B264339C7FB695B8572342
*Windows\\System32\\svchost.exe,ADD683A6910ABBBF0E28B557FAD0BA998166394932AE2ACA069D9AA19EA8FE88
*Windows\\System32\\svchost.exe,2b105fb153b1bcd619b95028612b3a93c60b953eef6837d3bb0099e4207aaf6b
*Windows\\System32\\svchost.exe,add683a6910abbbf0e28b557fad0ba998166394932ae2aca069d9aa19ea8fe88
*Windows\\System32\\svchost.exe,f3feb95e7bcfb0766a694d93fca29eda7e2ca977c2395b4be75242814eb6d881
*Windows\\System32\\MicrosoftEdgeBCHost.exe,91A954FECD74F20B4A25708D7323E64FB4DD4E03997BCF234E7B810F9EB03A95
*Windows\\System32\\Spectrum.exe,57ADE4D8A649A99CBFE0E438C76C0A12DDD1600148B4653DE7DD5A9AC7D47F43
*Windows\\System32\\SecurityHealthHost.exe,862DE18D8C4F98C5B13F0BE2A32CEBF8A8926540A613974F3D494D20DA94EA39
*Windows\\System32\\wbem\\scrcons.exe,F96C187199362265FAC87ADB337DB242D24F9B313407646F89DA62A1ED12B6D9
*Windows\\System32\\WBEM\\WmiPrvSE.exe,2198a7b58bccb758036b969ddae6cc2ece07565e2659a7c541a313a0492231a3
*Windows\\System32\\WBEM\\WmiPrvSE.exe,2198a7b58bccb758036b969ddae6cc2ece07565e2659a7c541a313a0492231a3
*Windows\\System32\\msg.exe,2BDAB404DF6E4990BC1FD8F7464DBA325FB993C67E592BA1C5DC4F07C02A8E85
*Windows\\System32\\UevAppMonitor.exe,0BE7F413037A2192E3361954867B09DE0568FF53A938F73DD8BA1BDCE05C7002
*Windows\\System32\\wusa.exe,36768F5CAA1DAAB33EEF8577B1CC9DBB972DDB4A0568EE29353978F3ACC340F5
*Windows\\System32\\PnPUnattend.exe,DAAA6F8DFAFFDA95DCD17C30BEBD41A9C6F1B913EC37B34E0F137E35D5BA33A6
*Windows\\System32\\systemreset.exe,A2DFE00F948E95D0D122A215C383BC44501874BF65C14E826F703E3287ADDD28
*Windows\\System32\\ntfsinfo.exe,A0D29465C4EF4B6C7E146545B50228E5C08AB8888980577F907058757BDAE6DE
*Windows\\System32\\FXSSVC.exe,19B0C89D01B857D126B562AD21668270DC4687F172F22326F009639D23D9074D
*Windows\\System32\\upfc.exe,EE44FE14DF89C4E5EAF8398F8FB4823FD910C5A94D913653D6B9E831254F6CC2
*Windows\\System32\\cleanmgr.exe,ACD2CBFB4C9FB8FE20C21A7EC99445D1426CEE90FF3091115EB4C9484B69EA9D
*Windows\\System32\\Com\\MigRegDB.exe,75F6FA1D2BD6CF3D2E3B1389B55EC533EFCF1AD9C3AD5C71799621A6E2A7C0C8
*Windows\\System32\\LockAppHost.exe,8BD4C03DF66055601CEDF50FA31BD226B02DA6FFFA4D3887E39368375B41C733
*Windows\\System32\\SystemPropertiesHardware.exe,C8EBD920399EBCF3AB72BD325B71A6B4C6119DFECEA03F25059A920C4D32ACC7
*Windows\\System32\\schtasks.exe,013C013E0EFD13C9380FAD58418B7ACA8356E591A5CCEFFDB910F7D8B0AD28EF
*Windows\\System32\\Windows.WARP.JITService.exe,0D9B57043BA5ED8FF7955CEB5D590255B03744475347EB1FBD29A9686B98DB0E
*Windows\\System32\\SensorDataService.exe,C3DE970DAA10864AD81F1D9B264C2043F7C7C77288E4F7CC38A56E0C724CCFFC
*Windows\\System32\\services.exe,dfbea9e8c316d9bc118b454b0c722cd674c30d0a256340200e2c3a7480cba674
