extension_id,publisher_id,extension_name,metadata_comment,metadata_severity,metadata_category,metadata_source,metadata_reference,metadata_status,removal_date,source_reason,last_updated_utc,merged_sources
RooVeterinaryInc.roo-cline,RooVeterinaryInc,roo-cline,Roo Code (Roo-Cline): autonomous AI coding agent - full filesystem and terminal access - executes commands and modifies code - sends context to external LLM providers,high,risky-ai-code-access,static_list,https://marketplace.visualstudio.com/items?itemName=RooVeterinaryInc.roo-cline,listed_static,,,2026-04-27T03:59:56+00:00,static_list
saoudrizwan.claude-dev,saoudrizwan,claude-dev,Cline (Claude Dev): autonomous AI coding agent - reads writes and executes code - can run terminal commands - creates files and modifies codebase - sends context to LLM APIs,high,risky-ai-code-access,static_list,https://marketplace.visualstudio.com/items?itemName=saoudrizwan.claude-dev,listed_static,,,2026-04-27T03:59:56+00:00,static_list
formulahendry.code-runner,formulahendry,code-runner,Code Runner: executes code in 40+ languages from VS Code with one click - runs arbitrary scripts with full system privileges - can execute any file type including shell scripts and binaries,high,risky-code-execution,static_list,https://marketplace.visualstudio.com/items?itemName=formulahendry.code-runner,listed_static,,,2026-04-27T03:59:56+00:00,static_list
MS-vsliveshare.vsliveshare,MS-vsliveshare,vsliveshare,Live Share: real-time collaborative editing with shared terminals - servers and debugging sessions - guests can see and edit files - run terminals and access forwarded ports - sessions joinable by anyone with link,high,risky-collaboration,static_list,https://marketplace.visualstudio.com/items?itemName=MS-vsliveshare.vsliveshare,listed_static,,,2026-04-27T03:59:56+00:00,static_list
hashicorp.vault,hashicorp,vault,HashiCorp Vault: browse and read secrets from Vault servers directly in VS Code - enterprise secret management infrastructure access from IDE - vault tokens accessible to extensions,high,risky-credential-access,static_list,https://marketplace.visualstudio.com/items?itemName=hashicorp.vault,listed_static,,,2026-04-27T03:59:56+00:00,static_list
eliostruyf.vscode-remote-control,eliostruyf,vscode-remote-control,Remote Control: allows remote control of VS Code via HTTP API - run commands from anywhere on the network - can be exploited for unauthorized command execution,high,risky-remote-access,static_list,https://marketplace.visualstudio.com/items?itemName=eliostruyf.vscode-remote-control,listed_static,,,2026-04-27T03:59:56+00:00,static_list
mandrup.remote-rdp,mandrup,remote-rdp,Remote - RDP: manages and launches Remote Desktop sessions from VS Code - stored RDP credentials - can be used for lateral movement to Windows machines,high,risky-remote-access,static_list,https://marketplace.visualstudio.com/items?itemName=mandrup.remote-rdp,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-vscode-remote.remote-ssh,ms-vscode-remote,remote-ssh,Remote - SSH: opens folders on remote machines via SSH with full VS Code capabilities - installs VS Code Server on remote hosts - enables full filesystem access and command execution,high,risky-remote-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-ssh,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-vscode-remote.vscode-remote-extensionpack,ms-vscode-remote,vscode-remote-extensionpack,Remote Development Extension Pack: bundle of Remote SSH + Dev Containers + WSL + Tunnels - all remote access capabilities in one install,high,risky-remote-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.vscode-remote-extensionpack,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-vscode.remote-server,ms-vscode,remote-server,Remote - Tunnels: creates secure tunnels to remote machines via Microsoft dev tunnels - enables full remote control of any machine running VS Code without SSH - bypasses corporate firewalls and network segmentation,high,risky-remote-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-vscode.remote-server,listed_static,,,2026-04-27T03:59:56+00:00,static_list
IvanArjona.cloudflaretunnel,IvanArjona,cloudflaretunnel,Cloudflare Tunnel: exposes local services through Cloudflare network - bypasses corporate firewalls - local services become accessible via Cloudflare URLs without opening inbound ports,high,risky-tunnel,static_list,https://marketplace.visualstudio.com/items?itemName=IvanArjona.cloudflaretunnel,listed_static,,,2026-04-27T03:59:56+00:00,static_list
nicobao.localtunnel,nicobao,localtunnel,LocalTunnel: exposes local server to the internet via localtunnel.me - instant public URL for any local port - bypasses firewall without configuration,high,risky-tunnel,static_list,https://marketplace.visualstudio.com/items?itemName=nicobao.localtunnel,listed_static,,,2026-04-27T03:59:56+00:00,static_list
philnash.ngrok-for-vscode,philnash,ngrok-for-vscode,ngrok for VSCode: creates ngrok tunnels exposing local ports to the public internet - bypasses firewalls via reverse tunnels - can be used for data exfiltration or unauthorized remote access,high,risky-tunnel,static_list,https://marketplace.visualstudio.com/items?itemName=philnash.ngrok-for-vscode,listed_static,,,2026-04-27T03:59:56+00:00,static_list
tailscale.vscode-tailscale,tailscale,vscode-tailscale,Tailscale: connects to Tailscale mesh VPN network - access remote file systems - Tailscale Funnel can expose local services to the public internet - bypasses corporate network controls,high,risky-tunnel,static_list,https://marketplace.visualstudio.com/items?itemName=tailscale.vscode-tailscale,listed_static,,,2026-04-27T03:59:56+00:00,static_list
Codeium.codeium,Codeium,codeium,Codeium: free AI code completion and chat - sends code context to Codeium servers - free tier with broad data collection terms,medium,risky-ai-code-access,static_list,https://marketplace.visualstudio.com/items?itemName=Codeium.codeium,listed_static,,,2026-04-27T03:59:56+00:00,static_list
Continue.continue,Continue,continue,Continue: open-source AI code assistant - sends code context to LLM providers (OpenAI Anthropic Ollama) for completions and chat - codebase context shared with third-party providers,medium,risky-ai-code-access,static_list,https://marketplace.visualstudio.com/items?itemName=Continue.continue,listed_static,,,2026-04-27T03:59:56+00:00,static_list
GitHub.copilot,GitHub,copilot,GitHub Copilot: AI code assistant - sends code context to GitHub/OpenAI servers for completions - source code transmitted to external cloud - may include proprietary code and secrets in context,medium,risky-ai-code-access,static_list,https://marketplace.visualstudio.com/items?itemName=GitHub.copilot,listed_static,,,2026-04-27T03:59:56+00:00,static_list
GitHub.copilot-chat,GitHub,copilot-chat,GitHub Copilot Chat: AI chat assistant with codebase awareness - sends code context and questions to cloud - can access workspace files and terminal output,medium,risky-ai-code-access,static_list,https://marketplace.visualstudio.com/items?itemName=GitHub.copilot-chat,listed_static,,,2026-04-27T03:59:56+00:00,static_list
sourcegraph.cody-ai,sourcegraph,cody-ai,Cody AI (Sourcegraph): AI code assistant with full codebase context - indexes and sends repository code to Sourcegraph cloud - code search across all repositories,medium,risky-ai-code-access,static_list,https://marketplace.visualstudio.com/items?itemName=sourcegraph.cody-ai,listed_static,,,2026-04-27T03:59:56+00:00,static_list
Supermaven.supermaven,Supermaven,supermaven,Supermaven: AI code completion - sends code context to Supermaven cloud for fast completions - external processing of source code,medium,risky-ai-code-access,static_list,https://marketplace.visualstudio.com/items?itemName=Supermaven.supermaven,listed_static,,,2026-04-27T03:59:56+00:00,static_list
TabNine.tabnine-vscode,TabNine,tabnine-vscode,Tabnine AI: AI code completion - analyzes codebase and sends context to Tabnine cloud - source code context sent to external cloud for AI processing,medium,risky-ai-code-access,static_list,https://marketplace.visualstudio.com/items?itemName=TabNine.tabnine-vscode,listed_static,,,2026-04-27T03:59:56+00:00,static_list
Postman.postman-for-vscode,Postman,postman-for-vscode,Postman: API development and testing platform - requires Postman account login - syncs requests and credentials to Postman cloud - auth tokens and API keys stored in collections,medium,risky-api-client,static_list,https://marketplace.visualstudio.com/items?itemName=Postman.postman-for-vscode,listed_static,,,2026-04-27T03:59:56+00:00,static_list
rangav.vscode-thunder-client,rangav,vscode-thunder-client,Thunder Client: REST API client with auth credential storage - not open source - credentials go through closed-source code - stored API keys and tokens in collections,medium,risky-api-client,static_list,https://marketplace.visualstudio.com/items?itemName=rangav.vscode-thunder-client,listed_static,,,2026-04-27T03:59:56+00:00,static_list
amazonwebservices.aws-toolkit-vscode,amazonwebservices,aws-toolkit-vscode,AWS Toolkit: full AWS integration Lambda S3 CloudWatch ECS - browse and manage AWS resources from VS Code - uses AWS credentials from ~/.aws - can deploy modify and delete cloud resources,medium,risky-cloud-access,static_list,https://marketplace.visualstudio.com/items?itemName=amazonwebservices.aws-toolkit-vscode,listed_static,,,2026-04-27T03:59:56+00:00,static_list
GoogleCloudTools.cloudcode,GoogleCloudTools,cloudcode,Cloud Code: Google Cloud Platform integration - deploy to GKE Cloud Run - manage APIs and resources - uses gcloud credentials,medium,risky-cloud-access,static_list,https://marketplace.visualstudio.com/items?itemName=GoogleCloudTools.cloudcode,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-azuretools.vscode-azurefunctions,ms-azuretools,vscode-azurefunctions,Azure Functions: create deploy and manage Azure Functions from VS Code - deploys code to cloud - Azure credential access,medium,risky-cloud-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-azuretools.vscode-azurefunctions,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-azuretools.vscode-azureresourcegroups,ms-azuretools,vscode-azureresourcegroups,Azure Resources: browse and manage Azure resources directly from VS Code - Azure subscription access from IDE - can view and manage cloud resources,medium,risky-cloud-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-azuretools.vscode-azureresourcegroups,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-azuretools.vscode-azurestorage,ms-azuretools,vscode-azurestorage,Azure Storage: browse and manage Azure Blob File Queue Table storage from VS Code - access to cloud storage resources - can upload download and delete data,medium,risky-cloud-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-azuretools.vscode-azurestorage,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-azuretools.vscode-docker,ms-azuretools,vscode-docker,Docker: build manage and deploy containers from VS Code - access to Docker daemon - can run arbitrary containers with network and filesystem access,medium,risky-cloud-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-azuretools.vscode-docker,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-kubernetes-tools.vscode-kubernetes-tools,ms-kubernetes-tools,vscode-kubernetes-tools,Kubernetes: manage Kubernetes clusters from VS Code - kubectl access - can deploy modify and delete workloads - access to cluster secrets and configmaps,medium,risky-cloud-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-kubernetes-tools.vscode-kubernetes-tools,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-vscode.azure-account,ms-vscode,azure-account,Azure Account: Azure authentication and subscription management - stores Azure OAuth tokens - provides credential access to all Azure-related extensions,medium,risky-cloud-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-vscode.azure-account,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-toolsai.jupyter,ms-toolsai,jupyter,Jupyter Notebooks: execute arbitrary code in Python R Julia and more - can connect to remote Jupyter kernels - full code execution environment with network and filesystem access,medium,risky-code-execution,static_list,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-vscode.PowerShell,ms-vscode,PowerShell,PowerShell: full PowerShell execution environment in VS Code - runs scripts with system privileges - access to all Windows management APIs and .NET framework,medium,risky-code-execution,static_list,https://marketplace.visualstudio.com/items?itemName=ms-vscode.PowerShell,listed_static,,,2026-04-27T03:59:56+00:00,static_list
1Password.op-vscode,1Password,op-vscode,1Password: integrates 1Password vault into VS Code - retrieve generate and inject secrets - vault access from Node.js process - secrets accessible to all extensions via VS Code API,medium,risky-credential-access,static_list,https://marketplace.visualstudio.com/items?itemName=1Password.op-vscode,listed_static,,,2026-04-27T03:59:56+00:00,static_list
Doppler.doppler-vscode,Doppler,doppler-vscode,Doppler: secret manager integration - auto-complete secret references and inject secrets into development environment - secret manager access from IDE,medium,risky-credential-access,static_list,https://marketplace.visualstudio.com/items?itemName=Doppler.doppler-vscode,listed_static,,,2026-04-27T03:59:56+00:00,static_list
infisical.infisical,infisical,infisical,Infisical: secret management platform integration - inject secrets into projects - access to centralized secret store from IDE,medium,risky-credential-access,static_list,https://marketplace.visualstudio.com/items?itemName=infisical.infisical,listed_static,,,2026-04-27T03:59:56+00:00,static_list
KeeperSecurityDev.ks-vscode,KeeperSecurityDev,ks-vscode,Keeper Security: integrates Keeper vault - save retrieve and generate secrets from Keeper vault within VS Code - vault credentials accessible from VS Code process,medium,risky-credential-access,static_list,https://marketplace.visualstudio.com/items?itemName=KeeperSecurityDev.ks-vscode,listed_static,,,2026-04-27T03:59:56+00:00,static_list
cweijan.vscode-database-client2,cweijan,vscode-database-client2,Database Client: database client for MySQL PostgreSQL MongoDB Redis ElasticSearch - full CRUD operations - broad database access with stored credentials,medium,risky-database-access,static_list,https://marketplace.visualstudio.com/items?itemName=cweijan.vscode-database-client2,listed_static,,,2026-04-27T03:59:56+00:00,static_list
cweijan.vscode-redis-client,cweijan,vscode-redis-client,Redis Client: Redis database client - browse keys execute commands monitor Redis instances - Redis often stores session tokens cache data and application secrets,medium,risky-database-access,static_list,https://marketplace.visualstudio.com/items?itemName=cweijan.vscode-redis-client,listed_static,,,2026-04-27T03:59:56+00:00,static_list
mongodb.mongodb-vscode,mongodb,mongodb-vscode,MongoDB for VS Code: connect to MongoDB instances - browse collections run queries manage databases - connection strings with credentials stored in VS Code,medium,risky-database-access,static_list,https://marketplace.visualstudio.com/items?itemName=mongodb.mongodb-vscode,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-azuretools.vscode-cosmosdb,ms-azuretools,vscode-cosmosdb,Azure Databases (CosmosDB): manage Azure Cosmos DB and MongoDB accounts - browse databases and collections - execute queries with stored credentials,medium,risky-database-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-azuretools.vscode-cosmosdb,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-mssql.mssql,ms-mssql,mssql,SQL Server (MSSQL): connect to SQL Server Azure SQL and Fabric SQL databases - execute queries browse schemas export data - stores connection credentials including passwords,medium,risky-database-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-mssql.mssql,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-ossdata.vscode-postgresql,ms-ossdata,vscode-postgresql,PostgreSQL: Microsoft PostgreSQL client - execute queries browse schemas - stores connection credentials,medium,risky-database-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-ossdata.vscode-postgresql,listed_static,,,2026-04-27T03:59:56+00:00,static_list
mtxr.sqltools,mtxr,sqltools,SQLTools: database management tool - connect to MySQL PostgreSQL SQLite SQL Server - execute queries and browse schemas - stores database credentials in VS Code settings,medium,risky-database-access,static_list,https://marketplace.visualstudio.com/items?itemName=mtxr.sqltools,listed_static,,,2026-04-27T03:59:56+00:00,static_list
Oracle.sql-developer,Oracle,sql-developer,Oracle SQL Developer: end-to-end Oracle database development - execute SQL/PLSQL browse schemas manage objects - stores Oracle database credentials,medium,risky-database-access,static_list,https://marketplace.visualstudio.com/items?itemName=Oracle.sql-developer,listed_static,,,2026-04-27T03:59:56+00:00,static_list
heminei.pro-deployer,heminei,pro-deployer,PRO Deployer: SFTP/FTP deployer with auto-upload on save - stores server credentials - deploys code to remote servers,medium,risky-file-transfer,static_list,https://marketplace.visualstudio.com/items?itemName=heminei.pro-deployer,listed_static,,,2026-04-27T03:59:56+00:00,static_list
humy2833.ftp-simple,humy2833,ftp-simple,ftp-simple: simple FTP/SFTP client - stored credentials - file transfer to arbitrary servers,medium,risky-file-transfer,static_list,https://marketplace.visualstudio.com/items?itemName=humy2833.ftp-simple,listed_static,,,2026-04-27T03:59:56+00:00,static_list
liximomo.sftp,liximomo,sftp,SFTP (liximomo): SFTP/FTP sync with auto-upload on save - stores credentials in .vscode/sftp.json often committed to repos - abandoned by maintainer no security patches,medium,risky-file-transfer,static_list,https://marketplace.visualstudio.com/items?itemName=liximomo.sftp,listed_static,,,2026-04-27T03:59:56+00:00,static_list
mkloubert.vscode-deploy-reloaded,mkloubert,vscode-deploy-reloaded,Deploy (Reloaded): deploys workspace files to various destinations including FTP SFTP local/network paths - can transfer source code to external servers,medium,risky-file-transfer,static_list,https://marketplace.visualstudio.com/items?itemName=mkloubert.vscode-deploy-reloaded,listed_static,,,2026-04-27T03:59:56+00:00,static_list
Natizyskunk.sftp,Natizyskunk,sftp,SFTP (Natizyskunk): SFTP/FTP sync with auto-upload on save - stores SSH/FTP credentials in workspace settings - can auto-upload source code to external servers,medium,risky-file-transfer,static_list,https://marketplace.visualstudio.com/items?itemName=Natizyskunk.sftp,listed_static,,,2026-04-27T03:59:56+00:00,static_list
oorzc.ssh-tools,oorzc,ssh-tools,FTP/SFTP/SSH Sync Tool: multiple file transfer protocols with credential storage and auto-sync capabilities,medium,risky-file-transfer,static_list,https://marketplace.visualstudio.com/items?itemName=oorzc.ssh-tools,listed_static,,,2026-04-27T03:59:56+00:00,static_list
suntobright.vscode-sftp,suntobright,vscode-sftp,VS Code SFTP: edit remote Linux files directly in VS Code - direct file system access to remote hosts,medium,risky-file-transfer,static_list,https://marketplace.visualstudio.com/items?itemName=suntobright.vscode-sftp,listed_static,,,2026-04-27T03:59:56+00:00,static_list
hashicorp.terraform,hashicorp,terraform,HashiCorp Terraform: can provision and modify cloud infrastructure directly from VS Code - access to Terraform state files which contain secrets - cloud provider credentials required,medium,risky-infrastructure,static_list,https://marketplace.visualstudio.com/items?itemName=hashicorp.terraform,listed_static,,,2026-04-27T03:59:56+00:00,static_list
Pulumi.pulumi-vscode,Pulumi,pulumi-vscode,Pulumi: infrastructure as code - create modify and destroy cloud resources from VS Code - access to cloud provider credentials (AWS Azure GCP),medium,risky-infrastructure,static_list,https://marketplace.visualstudio.com/items?itemName=Pulumi.pulumi-vscode,listed_static,,,2026-04-27T03:59:56+00:00,static_list
tilt-dev.tiltfile,tilt-dev,tiltfile,Tilt: Kubernetes local development with live updates - deploys to local and remote k8s clusters - manages container builds and deployments,medium,risky-infrastructure,static_list,https://marketplace.visualstudio.com/items?itemName=tilt-dev.tiltfile,listed_static,,,2026-04-27T03:59:56+00:00,static_list
coder.coder-remote,coder,coder-remote,Coder Remote: connect to Coder cloud development environments - remote workspaces outside corporate network - full terminal and filesystem access on remote VMs,medium,risky-remote-access,static_list,https://marketplace.visualstudio.com/items?itemName=coder.coder-remote,listed_static,,,2026-04-27T03:59:56+00:00,static_list
cursor-remote.cursor-remote,cursor-remote,cursor-remote,CursorRemote: remote control local Cursor AI agent from phone or Telegram - monitor approve and send tasks remotely - out-of-band control channel via Telegram bot,medium,risky-remote-access,static_list,https://marketplace.visualstudio.com/items?itemName=cursor-remote.cursor-remote,listed_static,,,2026-04-27T03:59:56+00:00,static_list
GitHub.codespaces,GitHub,codespaces,GitHub Codespaces: cloud-hosted development environments with full terminal and network access - code and secrets accessible from cloud VMs outside corporate network,medium,risky-remote-access,static_list,https://marketplace.visualstudio.com/items?itemName=GitHub.codespaces,listed_static,,,2026-04-27T03:59:56+00:00,static_list
gitpod.gitpod-desktop,gitpod,gitpod-desktop,Gitpod: cloud-hosted development environments outside corporate control - source code accessed from external cloud VMs,medium,risky-remote-access,static_list,https://marketplace.visualstudio.com/items?itemName=gitpod.gitpod-desktop,listed_static,,,2026-04-27T03:59:56+00:00,static_list
Kelvin.vscode-sshfs,Kelvin,vscode-sshfs,SSH FS: mount remote filesystems over SSH directly in VS Code workspace - persistent SSH connections - stored SSH credentials and keys,medium,risky-remote-access,static_list,https://marketplace.visualstudio.com/items?itemName=Kelvin.vscode-sshfs,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-vscode-remote.remote-containers,ms-vscode-remote,remote-containers,Dev Containers: opens folders inside Docker containers with full VS Code capabilities - can mount host filesystem into containers - container escape risks,medium,risky-remote-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-containers,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-vscode-remote.remote-wsl,ms-vscode-remote,remote-wsl,WSL: opens folders in Windows Subsystem for Linux - WSL environments may have different security policies than Windows host - accesses Windows filesystem from Linux context,medium,risky-remote-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-wsl,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-vscode.remote-explorer,ms-vscode,remote-explorer,Remote Explorer: unified view of all remote machines accessible via SSH and Tunnels - enumerates and provides quick access to all configured remote targets,medium,risky-remote-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-vscode.remote-explorer,listed_static,,,2026-04-27T03:59:56+00:00,static_list
priyankark.AirCodum-app,priyankark,AirCodum-app,AirCodum: smartphone-based remote control for VS Code - control IDE actions and send files from phone - out-of-band remote control channel,medium,risky-remote-access,static_list,https://marketplace.visualstudio.com/items?itemName=priyankark.AirCodum-app,listed_static,,,2026-04-27T03:59:56+00:00,static_list
kanin-020.vscode-proxy-manager,kanin-020,vscode-proxy-manager,VSCode Proxy Manager: manage proxy settings - can redirect VS Code network traffic through arbitrary proxies - may bypass corporate proxy controls,medium,risky-tunnel,static_list,https://marketplace.visualstudio.com/items?itemName=kanin-020.vscode-proxy-manager,listed_static,,,2026-04-27T03:59:56+00:00,static_list
humao.rest-client,humao,rest-client,REST Client: send HTTP requests directly from VS Code - can interact with any API endpoint - auth credentials stored in .http files often committed to repos,low,risky-api-client,static_list,https://marketplace.visualstudio.com/items?itemName=humao.rest-client,listed_static,,,2026-04-27T03:59:56+00:00,static_list
boto3.vscode-boto3,boto3,vscode-boto3,AWS boto3: Python AWS SDK integration - autocomplete for AWS API calls - used with AWS credentials for cloud resource management,low,risky-cloud-access,static_list,https://marketplace.visualstudio.com/items?itemName=Boto3.boto3,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ritwickdey.LiveServer,ritwickdey,LiveServer,Live Server: launches local HTTP/HTTPS server exposing workspace files - serves files on a network-accessible port - can expose source code and sensitive files to the local network,low,risky-code-execution,static_list,https://marketplace.visualstudio.com/items?itemName=ritwickdey.LiveServer,listed_static,,,2026-04-27T03:59:56+00:00,static_list
eamodio.gitlens,eamodio,gitlens,GitLens: supercharged Git capabilities - full access to git history commits and diffs - can access all repository data including historical secrets committed and later removed,low,risky-git-access,static_list,https://marketplace.visualstudio.com/items?itemName=eamodio.gitlens,listed_static,,,2026-04-27T03:59:56+00:00,static_list
GitHub.vscode-pull-request-github,GitHub,vscode-pull-request-github,GitHub Pull Requests: manages PRs and issues from VS Code - GitHub OAuth token access - can create modify and merge pull requests,low,risky-git-access,static_list,https://marketplace.visualstudio.com/items?itemName=GitHub.vscode-pull-request-github,listed_static,,,2026-04-27T03:59:56+00:00,static_list
redhat.vscode-xml,redhat,vscode-xml,YAML/XML with schema validation (Red Hat): not directly risky but commonly used for Kubernetes and cloud infrastructure configuration - may expose infrastructure details,low,risky-infrastructure,static_list,https://marketplace.visualstudio.com/items?itemName=redhat.vscode-yaml,listed_static,,,2026-04-27T03:59:56+00:00,static_list
ms-vscode-remote.remote-ssh-edit,ms-vscode-remote,remote-ssh-edit,Remote - SSH: Editing Configuration Files: edits SSH configuration files directly - modifies SSH host configurations,low,risky-remote-access,static_list,https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-ssh-edit,listed_static,,,2026-04-27T03:59:56+00:00,static_list
