EventCode,action,Error_Code,Description,Category,Subcategory,os
4768,failure,0xF,KDC has no support for checksum type,,,
4769,failure,0xF,KDC has no support for checksum type,,,
4771,failure,0xF,KDC has no support for checksum type,,,
4768,failure,0xE,KDC has no support for encryption type,,,
4769,failure,0xE,KDC has no support for encryption type,,,
4771,failure,0xE,KDC has no support for encryption type,,,
4768,failure,0xD,KDC cannot accommodate requested option,,,
4769,failure,0xD,KDC cannot accommodate requested option,,,
4771,failure,0xD,KDC cannot accommodate requested option,,,
4625,failure,0XC0000413,Logon Failure: The machine you are logging onto is protected by an authentication firewall. The specified account is not allowed to authenticate to the machine.,,,
4776,failure,0xc0000371,The local account store does not contain secret material for the specified account.,,,
4625,failure,0XC00002EE,Failure Reason: An Error occurred during Logon,,,
4625,denied,0xC0000234,User logon with account locked,,,
4776,failure,0xC0000234,Account logon with account locked.,,,
4625,error,0XC0000225,Evidently a bug in Windows and not a risk,,,
4625,failure,0XC0000224,User is required to change password at next logon,,,
4776,failure,0xC0000224,"Account logon with ""Change Password at Next Logon"" flagged.",,,
4625,failure,0xC0000193,User logon with expired account,,,
4776,failure,0xC0000193,Account logon with expired account.,,,
4625,failure,0XC0000192,"An attempt was made to logon, but the Netlogon service was not started.",,,
4625,failure,0XC000018C,The logon request failed because the trust relationship between the primary domain and the trusted domain failed.,,,
4625,denied,0XC000015B,The user has not been granted the requested logon type (aka logon right) at this machine,,,
4625,error,0XC0000133,Clocks between DC and other computer too far out of sync,,,
4625,failure,0XC000010B,Indicates an invalid value has been provided for the LogonType requested.,,,
4625,failure,0XC00000DC,Indicates the Sam Server was in the wrong state to perform the desired operation.,,,
4625,failure,0xC0000072,User logon to account disabled by administrator,,,
4776,failure,0xC0000072,Account logon to account disabled by administrator.,,,
4625,failure,0xC0000071,User logon with expired password,,,
4776,failure,0xC0000071,Account logon with expired password.,,,
4625,denied,0xC0000070,User logon from unauthorized workstation,,,
4776,denied,0xC0000070,Account logon from unauthorized workstation.,,,
4625,denied,0xC000006F,User logon outside authorized hours,,,
4776,denied,0xC000006F,Account logon outside authorized hours.,,,
4625,failure,0XC000006E,Unknown user name or bad password.,,,
4625,failure,0XC000006D,This is either due to a bad username or authentication information,,,
4776,failure,0xC000006D,Generic logon failure.,,,
4625,failure,0xC000006A,User logon with misspelled or bad password,,,
4776,failure,0xC000006A,Account logon with misspelled or bad password.,,,
4625,unknown,0xC0000064,User logon with misspelled or bad user account,,,
4776,failure,0xC0000064,The username you typed does not exist. Bad username.,,,
4625,failure,0XC000005E,There are currently no logon servers available to service the logon request.,,,
4768,failure,0xC,Requested start time is later than end time,,,
4769,failure,0xC,Requested start time is later than end time,,,
4771,failure,0xC,KDC policy rejects request,,,
4768,failure,0xB,Requested start time is later than end time,,,
4769,failure,0xB,Requested start time is later than end time,,,
4771,failure,0xB,Requested start time is later than end time,,,
4768,failure,0xA,Ticket (TGT) not eligible for postdating,,,
4769,failure,0xA,Ticket (TGT) not eligible for postdating,,,
4771,failure,0xA,Ticket not eligible for postdating,,,
4768,failure,0x9,The client or server has a null key (master key),,,
4769,failure,0x9,The client or server has a null key (master key),,,
4771,failure,0x9,The client or server has a null key,,,
4768,failure,0x8,Multiple principal entries in KDC database,,,
4769,failure,0x8,Multiple principal entries in KDC database,,,
4771,failure,0x8,Multiple principal entries in database,,,
4768,failure,0x7,Server not found in Kerberos database,,,
4769,failure,0x7,Server not found in Kerberos database,,,
4771,failure,0x7,Server not found in Kerberos database,,,
4768,failure,0x6,Client not found in Kerberos database,,,
4769,failure,0x6,Client not found in Kerberos database,,,
4771,failure,0x6,Client not found in Kerberos database,,,
4768,failure,0x5,Server's key encrypted in old master key,,,
4769,failure,0x5,Server's key encrypted in old master key,,,
4771,failure,0x5,Server's key encrypted in old master key,,,
4768,failure,0x44,Incorrect domain or principal,,,
4769,failure,0x44,Incorrect domain or principal,,,
4768,failure,0x43,No TGT was presented or available,,,
4769,failure,0x43,No TGT was presented or available,,,
4768,failure,0x42,User-to-user authorization is required,,,
4769,failure,0x42,User-to-user authorization is required,,,
4768,failure,0x41,A higher encryption level is needed,,,
4769,failure,0x41,A higher encryption level is needed,,,
4768,failure,0x40,The signature is invalid,,,
4769,failure,0x40,The signature is invalid,,,
4768,failure,0x4,Client's key encrypted in old master key,,,
4769,failure,0x4,Client's key encrypted in old master key,,,
4771,failure,0x4,Client's key encrypted in old master key,,,
4768,failure,0x3F,The KDC server trust failed or could not be verified,,,
4769,failure,0x3F,The KDC server trust failed or could not be verified,,,
4768,failure,0x3E,The client trust failed or is not implemented,,,
4769,failure,0x3E,The client trust failed or is not implemented,,,
4768,failure,0x3D,Field is too long for this implementation,,,
4769,failure,0x3D,Field is too long for this implementation,,,
4771,failure,0x3D,Field is too long for this implementation,,,
4768,failure,0x3C,Generic error,,,
4769,failure,0x3C,Generic error,,,
4771,failure,0x3C,Generic error,,,
4768,failure,0x34,Too much data,,,
