process_path,parent_process_path
*\cmd.exe,*.lnk
*\powershell.exe,*.lnk
*\wscript.exe,*.lnk
*\cscript.exe,*.lnk
*\mshta.exe,*.lnk
*\rundll32.exe,*.lnk
*\regsvr32.exe,*.lnk
*\cmd.exe,*.hta
*\powershell.exe,*.hta
*\wscript.exe,*.hta
*\cscript.exe,*.hta
*\mshta.exe,*.hta
*\cmd.exe,*.pdf
*\powershell.exe,*.pdf
*\wscript.exe,*.pdf
*\cscript.exe,*.pdf
*\mshta.exe,*.pdf
*\rundll32.exe,*.pdf
*\regsvr32.exe,*.pdf
*\cmd.exe,*.doc
*\powershell.exe,*.doc
*\wscript.exe,*.doc
*\cscript.exe,*.doc
*\mshta.exe,*.doc
*\rundll32.exe,*.doc
*\regsvr32.exe,*.doc
*\cmd.exe,*.xls
*\powershell.exe,*.xls
*\wscript.exe,*.xls
*\cscript.exe,*.xls
*\mshta.exe,*.xls
*\rundll32.exe,*.xls
*\regsvr32.exe,*.xls
*\cmd.exe,*.url
*\powershell.exe,*.url
*\wscript.exe,*.url
*\cscript.exe,*.url
*\mshta.exe,*.url
*\rundll32.exe,*.url
*\regsvr32.exe,*.url
*\cmd.exe,*.zip
*\powershell.exe,*.zip
*\wscript.exe,*.zip
*\cscript.exe,*.zip
*\mshta.exe,*.zip
*\rundll32.exe,*.zip
*\regsvr32.exe,*.zip
*\cmd.exe,*.rar
*\powershell.exe,*.rar
*\mshta.exe,*.rar
*\cmd.exe,*.iso
*\powershell.exe,*.iso
*\wscript.exe,*.iso
*\cscript.exe,*.iso
*\mshta.exe,*.iso
*\rundll32.exe,*.iso
*\regsvr32.exe,*.iso
*\cmd.exe,*.vbs
*\powershell.exe,*.vbs
*\mshta.exe,*.vbs
*\cmd.exe,*.js
*\powershell.exe,*.js
*\mshta.exe,*.js
*\rundll32.exe,*.js
*\regsvr32.exe,*.js
*\cmd.exe,*.chm
*\powershell.exe,*.chm
*\mshta.exe,*.chm
